 TITLE ="GEORGIA TECH TEST PIT GRID (linear elastic)                                     "
 VARIABLES = "R","Z","DISP_R","DISP_Z","EPSR","EPSTH","EPSZ","EPSRZ","SIGMAR","SIGMATH","SIGMAZ","SIGMARZ"
 ZONE T="GEOMETRY & DISP", N=  475, E=  140, F=FEPOINT, ET=QUADRILATERAL
  0.00000000 25.00000000  0.00000000 -0.00593044     0.0000927     0.0000927    -0.0004814    -0.0000001    -2.1396526    -2.1396526    -4.6001493    -0.0002775
  1.39999998 25.00000000  0.00012950 -0.00592489     0.0000925     0.0000925    -0.0004807     0.0000198    -2.1386160    -2.1385383    -4.5952719     0.0423586
  4.55000019 25.00000000  0.00041536 -0.00587296     0.0000891     0.0000913    -0.0004743     0.0000636    -2.1377218    -2.1282169    -4.5521309     0.1362051
  9.55000019 25.00000000  0.00082804 -0.00568436     0.0000759     0.0000867    -0.0004509     0.0001258    -2.1463014    -2.0998898    -4.4040160     0.2696606
 17.54999924 25.00000000  0.00129945 -0.00518356     0.0000389     0.0000740    -0.0003892     0.0001921    -2.2009669    -2.0504283    -4.0357431     0.4115909
 32.54999924 25.00000000  0.00141305 -0.00406019    -0.0000222     0.0000434    -0.0002653     0.0001694    -2.1874893    -1.9061381    -3.2290325     0.3630652
 52.54999924 25.00000000  0.00078110 -0.00316802    -0.0000376     0.0000149    -0.0001880     0.0000660    -1.9680214    -1.7430938    -2.6126716     0.1414656
 77.55000305 25.00000000  0.00000000 -0.00291643    -0.0000268     0.0000000    -0.0001717    -0.0000004    -1.8159467    -1.7010654    -2.4367167    -0.0009240
  0.00000000 30.00000000  0.00000000 -0.00848181     0.0001328     0.0001328    -0.0005367     0.0000002    -1.7538910    -1.7538910    -4.6230574     0.0003867
  0.69999999 30.00000000  0.00009285 -0.00847938     0.0001325     0.0001326    -0.0005364     0.0000121    -1.7574131    -1.7567060    -4.6240976     0.0259265
  1.39999998 30.00000000  0.00018548 -0.00847234     0.0001324     0.0001325    -0.0005357     0.0000245    -1.7535275    -1.7532011    -4.6167460     0.0524089
  2.97499990 30.00000000  0.00039201 -0.00843844     0.0001296     0.0001318    -0.0005323     0.0000513    -1.7670055    -1.7577287    -4.6038577     0.1100144
  4.55000019 30.00000000  0.00059373 -0.00838167     0.0001270     0.0001305    -0.0005265     0.0000781    -1.7619982    -1.7470019    -4.5628708     0.1674617
  7.05000019 30.00000000  0.00089888 -0.00824346     0.0001167     0.0001275    -0.0005129     0.0001167    -1.8035401    -1.7571797    -4.5019287     0.2501156
  9.55000019 30.00000000  0.00117715 -0.00805363     0.0001054     0.0001233    -0.0004936     0.0001542    -1.8190378    -1.7426373    -4.3864870     0.3303925
 13.55000019 30.00000000  0.00154364 -0.00765139     0.0000783     0.0001139    -0.0004536     0.0001943    -1.9049462    -1.7522952    -4.1846160     0.4163668
 17.54999924 30.00000000  0.00180358 -0.00717211     0.0000478     0.0001028    -0.0004079     0.0002283    -2.0005801    -1.7649713    -3.9533676     0.4892567
 25.04999924 30.00000000  0.00197789 -0.00618034     0.0000026     0.0000790    -0.0003144     0.0002134    -1.9854287    -1.6580280    -3.3440044     0.4573298
 32.54999924 30.00000000  0.00184204 -0.00532352    -0.0000381     0.0000566    -0.0002420     0.0001740    -2.0786853    -1.6729125    -2.9524615     0.3727771
 42.54999924 30.00000000  0.00143266 -0.00450485    -0.0000445     0.0000337    -0.0001854     0.0001089    -1.8723763    -1.5374137    -2.4762073     0.2332805
 52.54999924 30.00000000  0.00095228 -0.00402725    -0.0000487     0.0000181    -0.0001560     0.0000528    -1.8074970    -1.5212446    -2.2674352     0.1131150
 65.05000305 30.00000000  0.00042825 -0.00377571    -0.0000381     0.0000066    -0.0001451     0.0000215    -1.6766471    -1.4851851    -2.1350658     0.0460307
 77.55000305 30.00000000  0.00000000 -0.00370285    -0.0000304     0.0000000    -0.0001428    -0.0000013    -1.6151290    -1.4847222    -2.0966766    -0.0028243
  0.00000000 33.00000000  0.00000000 -0.01015279     0.0001586     0.0001586    -0.0005798     0.0000000    -1.5716622    -1.5716622    -4.7362317    -0.0000772
  1.39999998 33.00000000  0.00022140 -0.01013991     0.0001582     0.0001581    -0.0005786     0.0000313    -1.5703530    -1.5704586    -4.7279895     0.0671088
  4.55000019 33.00000000  0.00070830 -0.01001813     0.0001513     0.0001557    -0.0005671     0.0001004    -1.5815656    -1.5626625    -4.6601358     0.2150579
  9.55000019 33.00000000  0.00139511 -0.00957508     0.0001229     0.0001461    -0.0005238     0.0001987    -1.6570821    -1.5578758    -4.4288863     0.4257947
 17.54999924 33.00000000  0.00209727 -0.00840372     0.0000473     0.0001195    -0.0004116     0.0002786    -1.8952288    -1.5858528    -3.8619384     0.5969293
 32.54999924 33.00000000  0.00204116 -0.00602228    -0.0000493     0.0000627    -0.0002220     0.0001822    -1.9985900    -1.5186634    -2.7386948     0.3904309
 52.54999924 33.00000000  0.00100343 -0.00447048    -0.0000520     0.0000191    -0.0001392     0.0000429    -1.6982152    -1.3933536    -2.0715910     0.0919073
 77.55000305 33.00000000  0.00000000 -0.00410930    -0.0000312     0.0000000    -0.0001283    -0.0000017    -1.5002448    -1.3667419    -1.9166100    -0.0037028
  0.00000000 36.00000000  0.00000000 -0.01196071     0.0001888     0.0001888    -0.0006251     0.0000000    -1.3112043    -1.3112043    -4.7993169     0.0000895
  0.69999999 36.00000000  0.00013199 -0.01195652     0.0001883     0.0001886    -0.0006247     0.0000195    -1.3173515    -1.3161894    -4.8015652     0.0417133
  1.39999998 36.00000000  0.00026361 -0.01194400     0.0001881     0.0001883    -0.0006236     0.0000391    -1.3118586    -1.3112498    -4.7906417     0.0837207
  2.97499990 36.00000000  0.00055658 -0.01188492     0.0001835     0.0001871    -0.0006185     0.0000825    -1.3390227    -1.3235720    -4.7762095     0.1768361
  4.55000019 36.00000000  0.00084158 -0.01178412     0.0001790     0.0001850    -0.0006095     0.0001256    -1.3371554    -1.3116082    -4.7162902     0.2691949
  7.05000019 36.00000000  0.00126736 -0.01153868     0.0001610     0.0001798    -0.0005877     0.0001881    -1.4262761    -1.3460280    -4.6353151     0.4030158
  9.55000019 36.00000000  0.00164679 -0.01119653     0.0001403     0.0001724    -0.0005562     0.0002492    -1.4853540    -1.3477123    -4.4705130     0.5340520
 13.55000019 36.00000000  0.00211109 -0.01047590     0.0000940     0.0001558    -0.0004891     0.0002990    -1.6485178    -1.3836692    -4.1476548     0.6407773
 17.54999924 36.00000000  0.00239881 -0.00964161     0.0000431     0.0001367    -0.0004172     0.0003357    -1.8496798    -1.4487302    -3.8224098     0.7194262
 25.04999924 36.00000000  0.00248196 -0.00799316    -0.0000142     0.0000991    -0.0002897     0.0002743    -1.8172138    -1.3316124    -2.9980227     0.5878314
 32.54999924 36.00000000  0.00218541 -0.00665531    -0.0000622     0.0000671    -0.0002013     0.0001911    -1.9496172    -1.3954241    -2.5460442     0.4094823
 42.54999924 36.00000000  0.00159533 -0.00549634    -0.0000585     0.0000375    -0.0001457     0.0000998    -1.6801618    -1.2686469    -2.0538513     0.2137506
 52.54999924 36.00000000  0.00101487 -0.00486221    -0.0000542     0.0000193    -0.0001217     0.0000327    -1.5750585    -1.2598547    -1.8642645     0.0699885
 65.05000305 36.00000000  0.00044299 -0.00455458    -0.0000406     0.0000068    -0.0001143     0.0000119    -1.4433976    -1.2402344    -1.7593391     0.0254948
 77.55000305 36.00000000  0.00000000 -0.00447266    -0.0000303     0.0000000    -0.0001137    -0.0000025    -1.3642299    -1.2344399    -1.7218699    -0.0053028
  0.00000000 38.00000000  0.00000000 -0.01326140     0.0002138     0.0002138    -0.0006760    -0.0000001    -1.2139951    -1.2139951    -5.0273765    -0.0001418
  1.39999998 38.00000000  0.00029826 -0.01324126     0.0002131     0.0002130    -0.0006742     0.0000482    -1.2129364    -1.2132770    -5.0159176     0.1032874
  4.55000019 38.00000000  0.00095089 -0.01304952     0.0002017     0.0002090    -0.0006567     0.0001552    -1.2438485    -1.2128353    -4.9230307     0.3326112
  9.55000019 38.00000000  0.00184334 -0.01234053     0.0001530     0.0001930    -0.0005887     0.0003061    -1.4241727    -1.2527800    -4.6030690     0.6560120
 17.54999924 38.00000000  0.00261718 -0.01047772     0.0000338     0.0001491    -0.0004154     0.0003853    -1.8483030    -1.3539674    -3.7735180     0.8255831
 32.54999924 38.00000000  0.00225608 -0.00704216    -0.0000714     0.0000693    -0.0001842     0.0001927    -1.9026590    -1.2997392    -2.3863588     0.4130055
 52.54999924 38.00000000  0.00100034 -0.00509485    -0.0000541     0.0000190    -0.0001112     0.0000249    -1.4851808    -1.1718840    -1.7300699     0.0533564
 77.55000305 38.00000000  0.00000000 -0.00469132    -0.0000291     0.0000000    -0.0001051    -0.0000028    -1.2753827    -1.1506431    -1.6012251    -0.0060941
  0.00000000 40.00000000  0.00000000 -0.01466483     0.0002455     0.0002455    -0.0007285     0.0000000    -0.9838009    -0.9838009    -5.1582476     0.0000856
  0.69999999 40.00000000  0.00017154 -0.01465885     0.0002446     0.0002451    -0.0007280     0.0000294    -0.9944062    -0.9925048    -5.1627472     0.0629804
  1.39999998 40.00000000  0.00034246 -0.01464096     0.0002445     0.0002446    -0.0007263     0.0000586    -0.9856514    -0.9849681    -5.1460053     0.1256408
  2.97499990 40.00000000  0.00072201 -0.01455667     0.0002368     0.0002427    -0.0007188     0.0001246    -1.0363300    -1.0109980    -5.1315528     0.2669477
  4.55000019 40.00000000  0.00108832 -0.01441102     0.0002292     0.0002392    -0.0007051     0.0001893    -1.0460425    -1.0033576    -5.0502344     0.4057201
  7.05000019 40.00000000  0.00162531 -0.01405368     0.0001995     0.0002305    -0.0006709     0.0002814    -1.2090475    -1.0760376    -4.9391589     0.6029156
  9.55000019 40.00000000  0.00208585 -0.01355139     0.0001653     0.0002184    -0.0006225     0.0003707    -1.3376398    -1.1102213    -4.7141182     0.7944620
 13.55000019 40.00000000  0.00259964 -0.01249148     0.0000951     0.0001919    -0.0005180     0.0004203    -1.5721974    -1.1576246    -4.1996961     0.9006044
 17.54999924 40.00000000  0.00284682 -0.01130335     0.0000208     0.0001622    -0.0004132     0.0004414    -1.8833932    -1.2773862    -3.7432561     0.9459175
 25.04999924 40.00000000  0.00275803 -0.00909499    -0.0000368     0.0001101    -0.0002615     0.0003222    -1.7708466    -1.1411414    -2.7335218     0.6904541
 32.54999924 40.00000000  0.00229437 -0.00739224    -0.0000817     0.0000705    -0.0001664     0.0001939    -1.8724908    -1.2203758    -2.2357630     0.4154211
 42.54999924 40.00000000  0.00157998 -0.00602203    -0.0000663     0.0000371    -0.0001175     0.0000873    -1.5416307    -1.0981596    -1.7607549     0.1870831
 52.54999924 40.00000000  0.00096749 -0.00530704    -0.0000532     0.0000184    -0.0001006     0.0000164    -1.3885611    -1.0817434    -1.5919596     0.0350861
 65.05000305 40.00000000  0.00041184 -0.00497566    -0.0000387     0.0000063    -0.0000961     0.0000045    -1.2669028    -1.0739144    -1.5128494     0.0097092
 77.55000305 40.00000000  0.00000000 -0.00489321    -0.0000272     0.0000000    -0.0000967    -0.0000034    -1.1784177    -1.0618711    -1.4762601    -0.0072012
  0.00000000 41.00000000  0.00000000 -0.01541455     0.0002652     0.0002652    -0.0007698    -0.0000002    -0.9141918    -0.9141918    -5.3499841    -0.0004892
  1.39999998 41.00000000  0.00036984 -0.01538818     0.0002642     0.0002642    -0.0007673     0.0000674    -0.9154894    -0.9157213    -5.3363674     0.1444231
  4.55000019 41.00000000  0.00117310 -0.01513479     0.0002460     0.0002578    -0.0007422     0.0002173    -0.9891180    -0.9382485    -5.2238693     0.4657462
  9.55000019 41.00000000  0.00222687 -0.01418497     0.0001708     0.0002332    -0.0006443     0.0004180    -1.3277908    -1.0605151    -4.8211928     0.8957504
 17.54999924 41.00000000  0.00297206 -0.01171611     0.0000109     0.0001693    -0.0004094     0.0004732    -1.9180532    -1.2388122    -3.7192034     1.0139414
 32.54999924 41.00000000  0.00230265 -0.00755419    -0.0000864     0.0000707    -0.0001569     0.0001918    -1.8495855    -1.1759532    -2.1514274     0.4109524
 52.54999924 41.00000000  0.00094378 -0.00540501    -0.0000522     0.0000180    -0.0000956     0.0000119    -1.3375129    -1.0366751    -1.5235709     0.0255078
 77.55000305 41.00000000  0.00000000 -0.00498791    -0.0000261     0.0000000    -0.0000928    -0.0000036    -1.1306472    -1.0188145    -1.4163890    -0.0076933
  0.00000000 42.00000000  0.00000000 -0.01620437     0.0002888     0.0002888    -0.0008093    -0.0000006    -0.7476142    -0.7476142    -5.4539256    -0.0011926
  0.69999999 42.00000000  0.00020174 -0.01619737     0.0002876     0.0002882    -0.0008084     0.0000383    -0.7618906    -0.7591797    -5.4590751     0.0820813
  1.39999998 42.00000000  0.00040260 -0.01617558     0.0002875     0.0002876    -0.0008061     0.0000764    -0.7478367    -0.7476458    -5.4348063     0.1636120
  2.97499990 42.00000000  0.00084768 -0.01607357     0.0002764     0.0002849    -0.0007962     0.0001622    -0.8283871    -0.7920022    -5.4256525     0.3476135
  4.55000019 42.00000000  0.00127340 -0.01589533     0.0002650     0.0002799    -0.0007775     0.0002456    -0.8590701    -0.7951755    -5.3268916     0.5262307
  7.05000019 42.00000000  0.00188480 -0.01545635     0.0002233     0.0002673    -0.0007306     0.0003601    -1.0993313    -0.9107540    -5.1877608     0.7716951
  9.55000019 42.00000000  0.00239013 -0.01484001     0.0001757     0.0002503    -0.0006665     0.0004670    -1.3081459    -0.9886186    -4.9175301     1.0007595
 13.55000019 42.00000000  0.00290858 -0.01354210     0.0000887     0.0002147    -0.0005322     0.0005081    -1.5813090    -1.0415337    -4.2423570     1.0888830
 17.54999924 42.00000000  0.00309979 -0.01212217    -0.0000008     0.0001766    -0.0004054     0.0005070    -1.9707030    -1.2104605    -3.7048433     1.0863462
 25.04999924 42.00000000  0.00286834 -0.00959665    -0.0000533     0.0001145    -0.0002411     0.0003431    -1.7702361    -1.0510902    -2.5750576     0.7352141
 32.54999924 42.00000000  0.00230035 -0.00770598    -0.0000915     0.0000707    -0.0001471     0.0001899    -1.8316914    -1.1367181    -2.0701729     0.4069438
 42.54999924 42.00000000  0.00153010 -0.00624289    -0.0000692     0.0000360    -0.0001034     0.0000781    -1.4683305    -1.0174768    -1.6147624     0.1672987
 52.54999924 42.00000000  0.00091557 -0.00549834    -0.0000510     0.0000174    -0.0000907     0.0000071    -1.2842538    -0.9908010    -1.4540904     0.0151908
 65.05000305 42.00000000  0.00038398 -0.00515957    -0.0000366     0.0000059    -0.0000877     0.0000008    -1.1720930    -0.9898409    -1.3910516     0.0017606
 77.55000305 42.00000000  0.00000000 -0.00507874    -0.0000248     0.0000000    -0.0000889    -0.0000039    -1.0806822    -0.9743372    -1.3551607    -0.0082528
  0.00000000 43.00000000  0.00000000 -0.01704311     0.0003180     0.0003180    -0.0008687     0.0000001    -0.6331554    -0.6331554    -5.7190244     0.0001580
  1.39999998 43.00000000  0.00044258 -0.01701042     0.0003161     0.0003161    -0.0008650     0.0000905    -0.6398065    -0.6398425    -5.7017035     0.1938265
  4.55000019 43.00000000  0.00139382 -0.01669766     0.0002874     0.0003063    -0.0008285     0.0002911    -0.7813779    -0.7000230    -5.5636900     0.6236922
  9.55000019 43.00000000  0.00257530 -0.01551926     0.0001786     0.0002697    -0.0006913     0.0005323    -1.3178513    -0.9276362    -5.0462144     1.1405942
 17.54999924 43.00000000  0.00323577 -0.01252471    -0.0000158     0.0001844    -0.0003970     0.0005405    -2.0253997    -1.1675416    -3.6590708     1.1582349
 32.54999924 43.00000000  0.00228941 -0.00784829    -0.0000958     0.0000703    -0.0001371     0.0001852    -1.8037380    -1.0917312    -1.9806178     0.3968341
 52.54999924 43.00000000  0.00088209 -0.00558654    -0.0000495     0.0000168    -0.0000860     0.0000023    -1.2305262    -0.9463060    -1.3870239     0.0049643
 77.55000305 43.00000000  0.00000000 -0.00516573    -0.0000235     0.0000000    -0.0000852    -0.0000041    -1.0315289    -0.9309861    -1.2959364    -0.0087850
  0.00000000 44.00000000  0.00000000 -0.01794187     0.0003542     0.0003542    -0.0009266     0.0000005    -0.3528761    -0.3528761    -5.8421066     0.0011150
