  PRINCIPAL STRESSES:


  ELEMENT  R-COORD  Z-COORD      SIGMA 1        SIGMA 2        SIGMA 3        ANGLE 
    297     7.50   397.50     -0.201420E+01  -0.199764E+01  -0.533394E+01   0.106935E+02
    298     8.50   397.50     -0.201422E+01  -0.199407E+01  -0.526899E+01   0.120707E+02
    299    10.00   397.50     -0.201739E+01  -0.198992E+01  -0.516166E+01   0.140561E+02
    300    13.00   397.50     -0.201842E+01  -0.197727E+01  -0.491486E+01   0.178135E+02
    301    19.00   397.50     -0.199750E+01  -0.192301E+01  -0.432904E+01   0.242932E+02
    302    31.00   397.50     -0.198736E+01  -0.186668E+01  -0.336691E+01   0.326758E+02
    303    55.00   397.50     -0.209274E+01  -0.192268E+01  -0.257142E+01   0.304704E+02
    304   103.00   397.50     -0.201292E+01  -0.193149E+01  -0.233393E+01   0.673746E+01
    305     0.50   398.50     -0.197720E+01  -0.197688E+01  -0.570507E+01   0.759378E+00
    306     1.50   398.50     -0.197669E+01  -0.197547E+01  -0.569333E+01   0.226610E+01
    307     2.50   398.50     -0.197677E+01  -0.197403E+01  -0.567207E+01   0.376317E+01
    308     3.50   398.50     -0.197596E+01  -0.197198E+01  -0.564183E+01   0.528016E+01
    309     4.25   398.50     -0.197284E+01  -0.196846E+01  -0.561194E+01   0.639743E+01
    310     4.75   398.50     -0.197364E+01  -0.196780E+01  -0.559038E+01   0.713195E+01
    311     5.50   398.50     -0.197310E+01  -0.196469E+01  -0.555173E+01   0.822844E+01
    312     6.50   398.50     -0.197296E+01  -0.196049E+01  -0.549289E+01   0.967647E+01
    313     7.50   398.50     -0.197387E+01  -0.195699E+01  -0.542791E+01   0.110986E+02
    314     8.50   398.50     -0.197390E+01  -0.195302E+01  -0.535611E+01   0.125214E+02
    315    10.00   398.50     -0.197365E+01  -0.194575E+01  -0.523726E+01   0.145794E+02
    316    13.00   398.50     -0.197240E+01  -0.192935E+01  -0.496334E+01   0.184381E+02
    317    19.00   398.50     -0.194399E+01  -0.186851E+01  -0.432996E+01   0.251368E+02
    318    31.00   398.50     -0.193036E+01  -0.180997E+01  -0.331329E+01   0.336747E+02
    319    55.00   398.50     -0.203734E+01  -0.186696E+01  -0.249798E+01   0.313422E+02
    320   103.00   398.50     -0.195132E+01  -0.187168E+01  -0.226125E+01   0.684726E+01
    321     0.50   399.50     -0.194302E+01  -0.194248E+01  -0.584137E+01   0.777224E+00
    322     1.50   399.50     -0.194296E+01  -0.194165E+01  -0.582964E+01   0.235053E+01
    323     2.50   399.50     -0.194196E+01  -0.193933E+01  -0.580578E+01   0.390627E+01
    324     3.50   399.50     -0.194082E+01  -0.193632E+01  -0.577170E+01   0.547839E+01
    325     4.25   399.50     -0.193808E+01  -0.193239E+01  -0.573802E+01   0.663762E+01
    326     4.75   399.50     -0.193710E+01  -0.193082E+01  -0.571388E+01   0.740623E+01
    327     5.50   399.50     -0.193651E+01  -0.192792E+01  -0.567146E+01   0.854599E+01
    328     6.50   399.50     -0.193586E+01  -0.192347E+01  -0.560735E+01   0.100515E+02
    329     7.50   399.50     -0.193538E+01  -0.191796E+01  -0.553314E+01   0.115174E+02
    330     8.50   399.50     -0.193433E+01  -0.191281E+01  -0.545287E+01   0.129877E+02
    331    10.00   399.50     -0.193473E+01  -0.190577E+01  -0.532292E+01   0.151161E+02
    332    13.00   399.50     -0.192890E+01  -0.188407E+01  -0.501960E+01   0.190908E+02
    333    19.00   399.50     -0.189045E+01  -0.181397E+01  -0.433222E+01   0.260047E+02
    334    31.00   399.50     -0.187533E+01  -0.175620E+01  -0.326280E+01   0.346940E+02
    335    55.00   399.50     -0.198452E+01  -0.181395E+01  -0.242723E+01   0.322044E+02
    336   103.00   399.50     -0.189058E+01  -0.181287E+01  -0.218991E+01   0.698964E+01
    337     0.50   400.50     -0.191535E+01  -0.191455E+01  -0.599671E+01   0.812662E+00
    338     1.50   400.50     -0.191331E+01  -0.191252E+01  -0.598306E+01   0.244532E+01
    339     2.50   400.50     -0.191205E+01  -0.190934E+01  -0.595624E+01   0.406336E+01
    340     3.50   400.50     -0.191057E+01  -0.190587E+01  -0.591790E+01   0.569262E+01
    341     4.25   400.50     -0.190661E+01  -0.190077E+01  -0.588016E+01   0.687570E+01
    342     4.75   400.50     -0.190595E+01  -0.189894E+01  -0.585249E+01   0.767625E+01
    343     5.50   400.50     -0.190535E+01  -0.189579E+01  -0.580600E+01   0.886401E+01
    344     6.50   400.50     -0.190321E+01  -0.189002E+01  -0.573467E+01   0.104253E+02
    345     7.50   400.50     -0.190079E+01  -0.188330E+01  -0.565310E+01   0.119464E+02
    346     8.50   400.50     -0.189865E+01  -0.187618E+01  -0.556282E+01   0.134788E+02
    347    10.00   400.50     -0.189830E+01  -0.186835E+01  -0.541883E+01   0.156665E+02
    348    13.00   400.50     -0.188576E+01  -0.183984E+01  -0.508235E+01   0.197821E+02
    349    19.00   400.50     -0.183685E+01  -0.175932E+01  -0.433433E+01   0.268951E+02
    350    31.00   400.50     -0.182194E+01  -0.170366E+01  -0.321176E+01   0.357166E+02
    351    55.00   400.50     -0.193135E+01  -0.176113E+01  -0.235649E+01   0.331013E+02
    352   103.00   400.50     -0.183030E+01  -0.175465E+01  -0.211936E+01   0.713951E+01
    353     0.50   401.50     -0.188983E+01  -0.188916E+01  -0.616905E+01   0.844103E+00
    354     1.50   401.50     -0.188960E+01  -0.188841E+01  -0.615561E+01   0.252624E+01
    355     2.50   401.50     -0.188759E+01  -0.188472E+01  -0.612578E+01   0.422266E+01
    356     3.50   401.50     -0.188616E+01  -0.188140E+01  -0.608320E+01   0.590360E+01
    357     4.25   401.50     -0.188201E+01  -0.187564E+01  -0.603985E+01   0.713853E+01
    358     4.75   401.50     -0.187997E+01  -0.187228E+01  -0.600854E+01   0.796761E+01
    359     5.50   401.50     -0.187827E+01  -0.186810E+01  -0.595683E+01   0.921064E+01
    360     6.50   401.50     -0.187482E+01  -0.186139E+01  -0.587714E+01   0.108091E+02
    361     7.50   401.50     -0.187084E+01  -0.185315E+01  -0.578636E+01   0.123990E+02
    362     8.50   401.50     -0.186722E+01  -0.184445E+01  -0.568685E+01   0.139857E+02
    363    10.00   401.50     -0.186341E+01  -0.183296E+01  -0.552507E+01   0.162412E+02
    364    13.00   401.50     -0.184493E+01  -0.179806E+01  -0.515213E+01   0.205004E+02
    365    19.00   401.50     -0.178382E+01  -0.170574E+01  -0.433835E+01   0.278163E+02
    366    31.00   401.50     -0.176831E+01  -0.165090E+01  -0.315844E+01   0.367577E+02
    367    55.00   401.50     -0.187596E+01  -0.170677E+01  -0.228382E+01   0.340544E+02
    368   103.00   401.50     -0.176890E+01  -0.169544E+01  -0.204771E+01   0.731111E+01
    369     0.50   402.50     -0.187381E+01  -0.187301E+01  -0.636577E+01   0.877852E+00
    370     1.50   402.50     -0.187295E+01  -0.187152E+01  -0.634938E+01   0.262738E+01
    371     2.50   402.50     -0.186914E+01  -0.186693E+01  -0.631557E+01   0.438686E+01
    372     3.50   402.50     -0.186559E+01  -0.186167E+01  -0.626748E+01   0.612631E+01
    373     4.25   402.50     -0.186113E+01  -0.185501E+01  -0.621951E+01   0.741471E+01
    374     4.75   402.50     -0.185932E+01  -0.185147E+01  -0.618459E+01   0.828135E+01
    375     5.50   402.50     -0.185710E+01  -0.184683E+01  -0.612664E+01   0.956271E+01
    376     6.50   402.50     -0.185242E+01  -0.183804E+01  -0.603712E+01   0.112262E+02
    377     7.50   402.50     -0.184620E+01  -0.182791E+01  -0.593567E+01   0.128819E+02
    378     8.50   402.50     -0.184027E+01  -0.181791E+01  -0.582463E+01   0.145121E+02
    379    10.00   402.50     -0.183259E+01  -0.180200E+01  -0.564265E+01   0.168331E+02
    380    13.00   402.50     -0.180726E+01  -0.175916E+01  -0.522977E+01   0.212393E+02
    381    19.00   402.50     -0.173022E+01  -0.165231E+01  -0.434308E+01   0.287709E+02
    382    31.00   402.50     -0.171340E+01  -0.159699E+01  -0.310144E+01   0.378241E+02
    383    55.00   402.50     -0.182001E+01  -0.165256E+01  -0.221129E+01   0.350422E+02
    384   103.00   402.50     -0.170848E+01  -0.163732E+01  -0.197747E+01   0.747489E+01
    385     0.50   403.50     -0.186636E+01  -0.186539E+01  -0.658611E+01   0.915177E+00
    386     1.50   403.50     -0.186466E+01  -0.186350E+01  -0.656732E+01   0.273474E+01
    387     2.50   403.50     -0.186071E+01  -0.185818E+01  -0.652926E+01   0.456292E+01
    388     3.50   403.50     -0.185670E+01  -0.185257E+01  -0.647523E+01   0.636334E+01
    389     4.25   403.50     -0.184920E+01  -0.184382E+01  -0.642124E+01   0.771334E+01
    390     4.75   403.50     -0.184740E+01  -0.183969E+01  -0.638225E+01   0.860696E+01
    391     5.50   403.50     -0.184273E+01  -0.183225E+01  -0.631635E+01   0.992935E+01
    392     6.50   403.50     -0.183512E+01  -0.182075E+01  -0.621587E+01   0.116607E+02
    393     7.50   403.50     -0.182736E+01  -0.180884E+01  -0.610193E+01   0.133766E+02
    394     8.50   403.50     -0.181878E+01  -0.179669E+01  -0.597835E+01   0.150606E+02
    395    10.00   403.50     -0.180743E+01  -0.177631E+01  -0.577317E+01   0.174544E+02
    396    13.00   403.50     -0.177198E+01  -0.172270E+01  -0.531411E+01   0.220050E+02
    397    19.00   403.50     -0.167566E+01  -0.159859E+01  -0.434739E+01   0.297553E+02
    398    31.00   403.50     -0.165857E+01  -0.154321E+01  -0.304190E+01   0.389124E+02
    399    55.00   403.50     -0.176341E+01  -0.159811E+01  -0.213820E+01   0.360478E+02
    400   103.00   403.50     -0.164768E+01  -0.157893E+01  -0.190694E+01   0.762273E+01
    401     0.50   404.50     -0.186948E+01  -0.186855E+01  -0.683446E+01   0.954588E+00
    402     1.50   404.50     -0.186749E+01  -0.186567E+01  -0.681244E+01   0.284288E+01
    403     2.50   404.50     -0.186236E+01  -0.185973E+01  -0.676949E+01   0.474422E+01
    404     3.50   404.50     -0.185596E+01  -0.185091E+01  -0.670666E+01   0.661606E+01
    405     4.25   404.50     -0.184692E+01  -0.184106E+01  -0.664581E+01   0.801928E+01
    406     4.75   404.50     -0.184397E+01  -0.183677E+01  -0.660308E+01   0.894914E+01
    407     5.50   404.50     -0.183715E+01  -0.182689E+01  -0.652743E+01   0.103102E+02
    408     6.50   404.50     -0.182690E+01  -0.181272E+01  -0.641359E+01   0.121068E+02
    409     7.50   404.50     -0.181535E+01  -0.179707E+01  -0.628582E+01   0.138850E+02
    410     8.50   404.50     -0.180309E+01  -0.178090E+01  -0.614718E+01   0.156225E+02
    411    10.00   404.50     -0.178645E+01  -0.175476E+01  -0.591614E+01   0.181179E+02
    412    13.00   404.50     -0.174008E+01  -0.168957E+01  -0.540496E+01   0.227991E+02
    413    19.00   404.50     -0.162157E+01  -0.154616E+01  -0.435183E+01   0.307644E+02
    414    31.00   404.50     -0.160385E+01  -0.149003E+01  -0.298036E+01   0.400243E+02
    415    55.00   404.50     -0.170454E+01  -0.154180E+01  -0.206248E+01   0.370864E+02
    416   103.00   404.50     -0.158585E+01  -0.151961E+01  -0.183533E+01   0.775861E+01
    417     0.50   405.50     -0.188373E+01  -0.188269E+01  -0.711102E+01   0.989771E+00
    418     1.50   405.50     -0.188123E+01  -0.187915E+01  -0.708665E+01   0.296335E+01
    419     2.50   405.50     -0.187574E+01  -0.187246E+01  -0.703795E+01   0.492535E+01
    420     3.50   405.50     -0.186629E+01  -0.186095E+01  -0.696582E+01   0.688065E+01
    421     4.25   405.50     -0.185620E+01  -0.184920E+01  -0.689635E+01   0.833143E+01
    422     4.75   405.50     -0.185044E+01  -0.184296E+01  -0.684672E+01   0.929369E+01
    423     5.50   405.50     -0.184143E+01  -0.183176E+01  -0.676257E+01   0.107131E+02
    424     6.50   405.50     -0.182819E+01  -0.181416E+01  -0.663320E+01   0.125746E+02
    425     7.50   405.50     -0.181251E+01  -0.179475E+01  -0.648886E+01   0.144105E+02
    426     8.50   405.50     -0.179654E+01  -0.177418E+01  -0.633258E+01   0.162038E+02
    427    10.00   405.50     -0.177267E+01  -0.173982E+01  -0.607272E+01   0.187984E+02
    428    13.00   405.50     -0.171097E+01  -0.166067E+01  -0.550408E+01   0.236381E+02
    429    19.00   405.50     -0.157027E+01  -0.149624E+01  -0.435661E+01   0.317876E+02
    430    31.00   405.50     -0.155031E+01  -0.143865E+01  -0.291816E+01   0.411534E+02
    431    55.00   405.50     -0.164584E+01  -0.148609E+01  -0.198717E+01   0.381207E+02
    432   103.00   405.50     -0.152465E+01  -0.146099E+01  -0.176460E+01   0.786812E+01
    433     0.50   406.50     -0.191424E+01  -0.191287E+01  -0.742066E+01   0.103048E+01
    434     1.50   406.50     -0.191004E+01  -0.190834E+01  -0.739295E+01   0.308128E+01
    435     2.50   406.50     -0.190230E+01  -0.189894E+01  -0.733761E+01   0.512550E+01
    436     3.50   406.50     -0.189141E+01  -0.188625E+01  -0.725694E+01   0.716132E+01
    437     4.25   406.50     -0.187758E+01  -0.187130E+01  -0.717726E+01   0.866951E+01
    438     4.75   406.50     -0.186971E+01  -0.186171E+01  -0.711817E+01   0.965570E+01
    439     5.50   406.50     -0.185955E+01  -0.184951E+01  -0.702356E+01   0.111360E+02
    440     6.50   406.50     -0.183967E+01  -0.182571E+01  -0.687457E+01   0.130587E+02
    441     7.50   406.50     -0.181915E+01  -0.180104E+01  -0.671092E+01   0.149586E+02
    442     8.50   406.50     -0.179883E+01  -0.177622E+01  -0.653463E+01   0.168200E+02
    443    10.00   406.50     -0.176691E+01  -0.173394E+01  -0.624371E+01   0.195103E+02
    444    13.00   406.50     -0.168807E+01  -0.163730E+01  -0.561041E+01   0.244887E+02
    445    19.00   406.50     -0.152174E+01  -0.144940E+01  -0.436172E+01   0.328324E+02
    446    31.00   406.50     -0.149822E+01  -0.138964E+01  -0.285594E+01   0.422950E+02
    447    55.00   406.50     -0.158685E+01  -0.143066E+01  -0.191200E+01   0.391467E+02
    448   103.00   406.50     -0.146230E+01  -0.140131E+01  -0.169258E+01   0.795424E+01
    449     0.50   407.50     -0.196395E+01  -0.196263E+01  -0.776692E+01   0.107657E+01
    450     1.50   407.50     -0.195956E+01  -0.195750E+01  -0.773585E+01   0.321077E+01
    451     2.50   407.50     -0.194866E+01  -0.194490E+01  -0.767190E+01   0.533704E+01
    452     3.50   407.50     -0.193357E+01  -0.192814E+01  -0.757818E+01   0.743531E+01
    453     4.25   407.50     -0.191595E+01  -0.190967E+01  -0.748682E+01   0.900071E+01
    454     4.75   407.50     -0.190646E+01  -0.189847E+01  -0.742078E+01   0.100328E+02
    455     5.50   407.50     -0.189141E+01  -0.188047E+01  -0.730964E+01   0.115584E+02
    456     6.50   407.50     -0.186741E+01  -0.185285E+01  -0.714257E+01   0.135596E+02
    457     7.50   407.50     -0.184074E+01  -0.182205E+01  -0.695642E+01   0.155266E+02
    458     8.50   407.50     -0.181309E+01  -0.178958E+01  -0.675513E+01   0.174543E+02
    459    10.00   407.50     -0.177148E+01  -0.173829E+01  -0.642932E+01   0.202383E+02
    460    13.00   407.50     -0.166942E+01  -0.161908E+01  -0.572266E+01   0.253672E+02
    461    19.00   407.50     -0.147162E+01  -0.140159E+01  -0.436122E+01   0.339053E+02
    462    31.00   407.50     -0.144555E+01  -0.134066E+01  -0.279020E+01   0.434537E+02
    463    55.00   407.50     -0.152908E+01  -0.137704E+01  -0.183889E+01   0.401211E+02
    464   103.00   407.50     -0.140140E+01  -0.134318E+01  -0.162246E+01   0.801109E+01
    465     0.50   408.50     -0.203857E+01  -0.203711E+01  -0.815472E+01   0.111128E+01
    466     1.50   408.50     -0.203187E+01  -0.202966E+01  -0.811777E+01   0.333843E+01
    467     2.50   408.50     -0.201859E+01  -0.201483E+01  -0.804494E+01   0.554819E+01
    468     3.50   408.50     -0.199805E+01  -0.199234E+01  -0.793603E+01   0.772794E+01
    469     4.25   408.50     -0.197537E+01  -0.196867E+01  -0.783038E+01   0.936197E+01
    470     4.75   408.50     -0.196402E+01  -0.195502E+01  -0.775427E+01   0.104232E+02
    471     5.50   408.50     -0.194434E+01  -0.193268E+01  -0.762694E+01   0.120014E+02
    472     6.50   408.50     -0.191181E+01  -0.189658E+01  -0.743380E+01   0.140702E+02
    473     7.50   408.50     -0.187750E+01  -0.185808E+01  -0.722278E+01   0.161114E+02
    474     8.50   408.50     -0.184179E+01  -0.181738E+01  -0.699520E+01   0.181069E+02
    475    10.00   408.50     -0.178478E+01  -0.175187E+01  -0.662659E+01   0.209871E+02
    476    13.00   408.50     -0.165755E+01  -0.160828E+01  -0.584110E+01   0.262616E+02
    477    19.00   408.50     -0.142250E+01  -0.135589E+01  -0.435746E+01   0.350007E+02
    478    31.00   408.50     -0.139324E+01  -0.129241E+01  -0.272109E+01   0.446239E+02
    479    55.00   408.50     -0.147191E+01  -0.132433E+01  -0.176646E+01   0.410278E+02
    480   103.00   408.50     -0.134099E+01  -0.128566E+01  -0.155316E+01   0.808474E+01
    481     0.50   409.50     -0.214147E+01  -0.213965E+01  -0.858483E+01   0.115680E+01
    482     1.50   409.50     -0.213273E+01  -0.213095E+01  -0.854156E+01   0.346754E+01
    483     2.50   409.50     -0.211512E+01  -0.211231E+01  -0.845754E+01   0.576078E+01
    484     3.50   409.50     -0.208945E+01  -0.208347E+01  -0.833053E+01   0.803084E+01
    485     4.25   409.50     -0.206193E+01  -0.205420E+01  -0.820919E+01   0.972584E+01
    486     4.75   409.50     -0.204517E+01  -0.203572E+01  -0.812088E+01   0.108327E+02
    487     5.50   409.50     -0.201899E+01  -0.200614E+01  -0.797305E+01   0.124568E+02
    488     6.50   409.50     -0.197806E+01  -0.196134E+01  -0.775284E+01   0.146097E+02
    489     7.50   409.50     -0.193324E+01  -0.191268E+01  -0.751166E+01   0.167122E+02
    490     8.50   409.50     -0.188708E+01  -0.186275E+01  -0.725434E+01   0.187771E+02
    491    10.00   409.50     -0.181223E+01  -0.177957E+01  -0.683612E+01   0.217457E+02
    492    13.00   409.50     -0.165570E+01  -0.160829E+01  -0.596490E+01   0.271598E+02
    493    19.00   409.50     -0.137556E+01  -0.131399E+01  -0.435077E+01   0.361107E+02
    494    31.00   409.50     -0.134535E+01  -0.124870E+01  -0.265252E+01  -0.442165E+02
    495    55.00   409.50     -0.141590E+01  -0.127301E+01  -0.169521E+01   0.418376E+02
    496   103.00   409.50     -0.128209E+01  -0.122978E+01  -0.148592E+01   0.816258E+01
    497     0.50   410.50     -0.228424E+01  -0.228230E+01  -0.906091E+01   0.120092E+01
    498     1.50   410.50     -0.227191E+01  -0.226979E+01  -0.901075E+01   0.359248E+01
    499     2.50   410.50     -0.224822E+01  -0.224541E+01  -0.891169E+01   0.596520E+01
    500     3.50   410.50     -0.221436E+01  -0.220974E+01  -0.876635E+01   0.833035E+01
    501     4.25   410.50     -0.217775E+01  -0.217171E+01  -0.862545E+01   0.100894E+02
    502     4.75   410.50     -0.215482E+01  -0.214620E+01  -0.852084E+01   0.112409E+02
    503     5.50   410.50     -0.212130E+01  -0.210739E+01  -0.835026E+01   0.129367E+02
    504     6.50   410.50     -0.206869E+01  -0.205053E+01  -0.809884E+01   0.151696E+02
    505     7.50   410.50     -0.201019E+01  -0.198841E+01  -0.782175E+01   0.173315E+02
    506     8.50   410.50     -0.195069E+01  -0.192708E+01  -0.753139E+01   0.194606E+02
    507    10.00   410.50     -0.185424E+01  -0.182288E+01  -0.705616E+01   0.225244E+02
    508    13.00   410.50     -0.166207E+01  -0.161716E+01  -0.608766E+01   0.280558E+02
    509    19.00   410.50     -0.132781E+01  -0.127293E+01  -0.433606E+01   0.372248E+02
    510    31.00   410.50     -0.129754E+01  -0.120527E+01  -0.257889E+01  -0.430487E+02
    511    55.00   410.50     -0.135924E+01  -0.122173E+01  -0.162394E+01   0.425654E+02
    512   103.00   410.50     -0.122357E+01  -0.117438E+01  -0.141930E+01   0.823125E+01
    513     0.50   411.50     -0.246977E+01  -0.246775E+01  -0.958607E+01   0.124739E+01
    514     1.50   411.50     -0.245427E+01  -0.245152E+01  -0.952455E+01   0.372765E+01
    515     2.50   411.50     -0.242314E+01  -0.241983E+01  -0.940701E+01   0.617551E+01
    516     3.50   411.50     -0.237957E+01  -0.237661E+01  -0.924056E+01   0.862361E+01
    517     4.25   411.50     -0.233420E+01  -0.232963E+01  -0.907822E+01   0.104431E+02
    518     4.75   411.50     -0.230487E+01  -0.229750E+01  -0.895790E+01   0.116499E+02
    519     5.50   411.50     -0.225756E+01  -0.224414E+01  -0.875737E+01   0.133952E+02
    520     6.50   411.50     -0.218846E+01  -0.217141E+01  -0.847285E+01   0.157167E+02
    521     7.50   411.50     -0.211157E+01  -0.208828E+01  -0.814953E+01   0.179627E+02
    522     8.50   411.50     -0.203946E+01  -0.201607E+01  -0.782515E+01   0.201360E+02
    523    10.00   411.50     -0.191257E+01  -0.188386E+01  -0.728151E+01   0.233041E+02
    524    13.00   411.50     -0.167892E+01  -0.163872E+01  -0.621116E+01   0.289555E+02
    525    19.00   411.50     -0.128165E+01  -0.123435E+01  -0.431135E+01   0.383147E+02
    526    31.00   411.50     -0.124775E+01  -0.116098E+01  -0.249914E+01  -0.418680E+02
    527    55.00   411.50     -0.130020E+01  -0.116840E+01  -0.154979E+01   0.432271E+02
    528   103.00   411.50     -0.116370E+01  -0.111775E+01  -0.135121E+01   0.831082E+01
    529     0.50   412.50     -0.271035E+01  -0.270673E+01  -0.101593E+02   0.130400E+01
    530     1.50   412.50     -0.269410E+01  -0.269022E+01  -0.100874E+02   0.387130E+01
    531     2.50   412.50     -0.265302E+01  -0.264734E+01  -0.994252E+01   0.638476E+01
    532     3.50   412.50     -0.259632E+01  -0.259302E+01  -0.975829E+01   0.891194E+01
    533     4.25   412.50     -0.253673E+01  -0.253334E+01  -0.956542E+01   0.108038E+02
    534     4.75   412.50     -0.249996E+01  -0.249539E+01  -0.942548E+01   0.120344E+02
    535     5.50   412.50     -0.243491E+01  -0.242548E+01  -0.919250E+01   0.138499E+02
    536     6.50   412.50     -0.234866E+01  -0.233648E+01  -0.887783E+01   0.162377E+02
    537     7.50   412.50     -0.224291E+01  -0.222016E+01  -0.849065E+01   0.185932E+02
    538     8.50   412.50     -0.215502E+01  -0.213366E+01  -0.813463E+01   0.207604E+02
    539    10.00   412.50     -0.198945E+01  -0.196486E+01  -0.750811E+01   0.240801E+02
    540    13.00   412.50     -0.170730E+01  -0.167335E+01  -0.632990E+01   0.298345E+02
    541    19.00   412.50     -0.123863E+01  -0.120116E+01  -0.427775E+01   0.393553E+02
    542    31.00   412.50     -0.119805E+01  -0.111752E+01  -0.241456E+01  -0.406841E+02
    543    55.00   412.50     -0.123820E+01  -0.111292E+01  -0.147304E+01   0.438165E+02
    544   103.00   412.50     -0.110334E+01  -0.106071E+01  -0.128265E+01   0.838310E+01
    545     0.50   413.50     -0.303008E+01  -0.302975E+01  -0.107757E+02   0.135860E+01
    546     1.50   413.50     -0.300448E+01  -0.299955E+01  -0.106936E+02   0.399922E+01
    547     2.50   413.50     -0.294897E+01  -0.294219E+01  -0.105062E+02   0.657828E+01
    548     3.50   413.50     -0.287345E+01  -0.287134E+01  -0.103126E+02   0.919965E+01
    549     4.25   413.50     -0.280202E+01  -0.280085E+01  -0.100790E+02   0.111420E+02
    550     4.75   413.50     -0.275407E+01  -0.275707E+01  -0.994570E+01   0.123856E+02
    551     5.50   413.50     -0.266596E+01  -0.265700E+01  -0.964171E+01   0.142959E+02
    552     6.50   413.50     -0.255030E+01  -0.254879E+01  -0.930843E+01   0.167067E+02
    553     7.50   413.50     -0.240366E+01  -0.238322E+01  -0.881668E+01   0.192120E+02
    554     8.50   413.50     -0.229868E+01  -0.228575E+01  -0.846183E+01   0.213136E+02
    555    10.00   413.50     -0.207622E+01  -0.205888E+01  -0.771912E+01   0.248308E+02
    556    13.00   413.50     -0.174312E+01  -0.171971E+01  -0.643709E+01   0.307105E+02
    557    19.00   413.50     -0.120284E+01  -0.117804E+01  -0.423656E+01   0.402733E+02
    558    31.00   413.50     -0.115276E+01  -0.107683E+01  -0.232450E+01  -0.394715E+02
    559    55.00   413.50     -0.117616E+01  -0.105780E+01  -0.139643E+01   0.442472E+02
    560   103.00   413.50     -0.104348E+01  -0.100422E+01  -0.121473E+01   0.840454E+01
    561     0.50   414.50      0.562950E+03   0.562965E+03  -0.115237E+02   0.248555E-01
    562     1.50   414.50      0.562852E+03   0.562923E+03  -0.114078E+02   0.744207E-01
    563     2.50   414.50      0.562661E+03   0.562847E+03  -0.111723E+02   0.119134E+00
    564     3.50   414.50      0.562396E+03   0.562745E+03  -0.107761E+02   0.160838E+00
    565     4.25   414.50      0.562162E+03   0.562651E+03  -0.104309E+02   0.187952E+00
    566     4.75   414.50      0.561983E+03   0.562582E+03  -0.101557E+02   0.204610E+00
    567     5.50   414.50      0.561711E+03   0.562463E+03  -0.979751E+01   0.224879E+00
    568     6.50   414.50      0.561326E+03   0.562308E+03  -0.915293E+01   0.246648E+00
    569     7.50   414.50      0.560957E+03   0.562132E+03  -0.862137E+01   0.261315E+00
    570     8.50   414.50      0.560600E+03   0.561987E+03  -0.787747E+01   0.267678E+00
    571    10.00   414.50      0.560143E+03   0.561752E+03  -0.698867E+01   0.270754E+00
    572    13.00   414.50      0.559552E+03   0.561406E+03  -0.520498E+01   0.245970E+00
    573    19.00   414.50      0.559267E+03   0.560965E+03  -0.298841E+01   0.164348E+00
    574    31.00   414.50      0.559817E+03   0.560702E+03  -0.139703E+01   0.570538E-01
    575    55.00   414.50      0.560313E+03   0.560541E+03  -0.118246E+01   0.103046E-01
    576   103.00   414.50      0.560488E+03   0.560531E+03  -0.112870E+01   0.224471E-02
    577     0.50   415.50      0.562714E+03   0.562727E+03  -0.125740E+02   0.315760E-01
    578     1.50   415.50      0.562620E+03   0.562694E+03  -0.124225E+02   0.931278E-01
    579     2.50   415.50      0.562437E+03   0.562635E+03  -0.121074E+02   0.149655E+00
    580     3.50   415.50      0.562178E+03   0.562548E+03  -0.116410E+02   0.200293E+00
    581     4.25   415.50      0.561950E+03   0.562469E+03  -0.112188E+02   0.233297E+00
    582     4.75   415.50      0.561783E+03   0.562410E+03  -0.109142E+02   0.252387E+00
    583     5.50   415.50      0.561518E+03   0.562314E+03  -0.104189E+02   0.275832E+00
    584     6.50   415.50      0.561159E+03   0.562182E+03  -0.969868E+01   0.299434E+00
    585     7.50   415.50      0.560807E+03   0.562041E+03  -0.897495E+01   0.312918E+00
    586     8.50   415.50      0.560470E+03   0.561909E+03  -0.819779E+01   0.318104E+00
    587    10.00   415.50      0.560045E+03   0.561711E+03  -0.712765E+01   0.313972E+00
    588    13.00   415.50      0.559502E+03   0.561400E+03  -0.518600E+01   0.274082E+00
    589    19.00   415.50      0.559314E+03   0.561003E+03  -0.285373E+01   0.171428E+00
    590    31.00   415.50      0.559889E+03   0.560747E+03  -0.129772E+01   0.563403E-01
    591    55.00   415.50      0.560393E+03   0.560603E+03  -0.110377E+01   0.974156E-02
    592   103.00   415.50      0.560559E+03   0.560598E+03  -0.105119E+01   0.227014E-02
    593     0.50   416.50      0.562588E+03   0.562603E+03  -0.138988E+02   0.382269E-01
    594     1.50   416.50      0.562487E+03   0.562573E+03  -0.136942E+02   0.112628E+00
    595     2.50   416.50      0.562292E+03   0.562519E+03  -0.132883E+02   0.181239E+00
    596     3.50   416.50      0.562020E+03   0.562440E+03  -0.127070E+02   0.241257E+00
    597     4.25   416.50      0.561782E+03   0.562369E+03  -0.121790E+02   0.279696E+00
    598     4.75   416.50      0.561608E+03   0.562316E+03  -0.117954E+02   0.301313E+00
    599     5.50   416.50      0.561336E+03   0.562230E+03  -0.111804E+02   0.327671E+00
    600     6.50   416.50      0.560971E+03   0.562109E+03  -0.103126E+02   0.352423E+00
