     ELEMENT   R-COORD  Z-COORD   MODULUS IN Z-DIR  MODULUS IN R-DIR
       117      4.25     384.00     0.958394E+04     0.958394E+04
       118      4.75     384.00     0.958355E+04     0.958355E+04
       119      5.50     384.00     0.958389E+04     0.958389E+04
       120      6.50     384.00     0.958393E+04     0.958393E+04
       121      7.50     384.00     0.958371E+04     0.958371E+04
       122      8.50     384.00     0.958308E+04     0.958308E+04
       123     10.00     384.00     0.958150E+04     0.958150E+04
       124     13.00     384.00     0.957839E+04     0.957839E+04
       125     19.00     384.00     0.956876E+04     0.956876E+04
       126     31.00     384.00     0.954522E+04     0.954522E+04
       127     55.00     384.00     0.950241E+04     0.950241E+04
       128    103.00     384.00     0.954374E+04     0.954374E+04
       129      0.50     387.00     0.959966E+04     0.959966E+04
       130      1.50     387.00     0.959886E+04     0.959886E+04
       131      2.50     387.00     0.959829E+04     0.959829E+04
       132      3.50     387.00     0.959776E+04     0.959776E+04
       133      4.25     387.00     0.959722E+04     0.959722E+04
       134      4.75     387.00     0.959672E+04     0.959672E+04
       135      5.50     387.00     0.959580E+04     0.959580E+04
       136      6.50     387.00     0.959547E+04     0.959547E+04
       137      7.50     387.00     0.959517E+04     0.959517E+04
       138      8.50     387.00     0.959484E+04     0.959484E+04
       139     10.00     387.00     0.959303E+04     0.959303E+04
       140     13.00     387.00     0.958857E+04     0.958857E+04
       141     19.00     387.00     0.957681E+04     0.957681E+04
       142     31.00     387.00     0.954770E+04     0.954770E+04
       143     55.00     387.00     0.949775E+04     0.949775E+04
       144    103.00     387.00     0.954369E+04     0.954369E+04
       145      0.50     388.50     0.960751E+04     0.960751E+04
       146      1.50     388.50     0.960678E+04     0.960678E+04
       147      2.50     388.50     0.960490E+04     0.960490E+04
       148      3.50     388.50     0.960405E+04     0.960405E+04
       149      4.25     388.50     0.960424E+04     0.960424E+04
       150      4.75     388.50     0.960278E+04     0.960278E+04
       151      5.50     388.50     0.960209E+04     0.960209E+04
       152      6.50     388.50     0.960208E+04     0.960208E+04
       153      7.50     388.50     0.960251E+04     0.960251E+04
       154      8.50     388.50     0.960220E+04     0.960220E+04
       155     10.00     388.50     0.959979E+04     0.959979E+04
