     ELEMENT   R-COORD  Z-COORD   MODULUS IN Z-DIR  MODULUS IN R-DIR
       506      8.50     410.50     0.923277E+04     0.923277E+04
       507     10.00     410.50     0.930902E+04     0.930902E+04
       508     13.00     410.50     0.947767E+04     0.947767E+04
       509     19.00     410.50     0.971240E+04     0.971240E+04
       510     31.00     410.50     0.960482E+04     0.960482E+04
       511     55.00     410.50     0.942646E+04     0.942646E+04
       512    103.00     410.50     0.954607E+04     0.954607E+04
       513      0.50     411.50     0.894361E+04     0.894361E+04
       514      1.50     411.50     0.894931E+04     0.894931E+04
       515      2.50     411.50     0.896213E+04     0.896213E+04
       516      3.50     411.50     0.897789E+04     0.897789E+04
       517      4.25     411.50     0.899922E+04     0.899922E+04
       518      4.75     411.50     0.901657E+04     0.901657E+04
       519      5.50     411.50     0.904830E+04     0.904830E+04
       520      6.50     411.50     0.909861E+04     0.909861E+04
       521      7.50     411.50     0.915270E+04     0.915270E+04
       522      8.50     411.50     0.920470E+04     0.920470E+04
       523     10.00     411.50     0.927953E+04     0.927953E+04
       524     13.00     411.50     0.946740E+04     0.946740E+04
       525     19.00     411.50     0.972860E+04     0.972860E+04
       526     31.00     411.50     0.961101E+04     0.961101E+04
       527     55.00     411.50     0.942234E+04     0.942234E+04
       528    103.00     411.50     0.954575E+04     0.954575E+04
       529      0.50     412.50     0.889833E+04     0.889833E+04
       530      1.50     412.50     0.890428E+04     0.890428E+04
       531      2.50     412.50     0.891768E+04     0.891768E+04
       532      3.50     412.50     0.894511E+04     0.894511E+04
       533      4.25     412.50     0.896103E+04     0.896103E+04
       534      4.75     412.50     0.897113E+04     0.897113E+04
       535      5.50     412.50     0.900298E+04     0.900298E+04
       536      6.50     412.50     0.906580E+04     0.906580E+04
       537      7.50     412.50     0.912306E+04     0.912306E+04
       538      8.50     412.50     0.918732E+04     0.918732E+04
       539     10.00     412.50     0.925501E+04     0.925501E+04
       540     13.00     412.50     0.946403E+04     0.946403E+04
       541     19.00     412.50     0.974475E+04     0.974475E+04
       542     31.00     412.50     0.961828E+04     0.961828E+04
       543     55.00     412.50     0.941821E+04     0.941821E+04
       544    103.00     412.50     0.954524E+04     0.954524E+04
       545      0.50     413.50     0.886133E+04     0.886133E+04
       546      1.50     413.50     0.887445E+04     0.887445E+04
       547      2.50     413.50     0.887263E+04     0.887263E+04
       548      3.50     413.50     0.892667E+04     0.892667E+04
       549      4.25     413.50     0.892177E+04     0.892177E+04
       550      4.75     413.50     0.895288E+04     0.895288E+04
       551      5.50     413.50     0.896807E+04     0.896807E+04
       552      6.50     413.50     0.904959E+04     0.904959E+04
       553      7.50     413.50     0.908479E+04     0.908479E+04
       554      8.50     413.50     0.919124E+04     0.919124E+04
       555     10.00     413.50     0.924119E+04     0.924119E+04
       556     13.00     413.50     0.946858E+04     0.946858E+04
       557     19.00     413.50     0.975493E+04     0.975493E+04
       558     31.00     413.50     0.962831E+04     0.962831E+04
       559     55.00     413.50     0.941425E+04     0.941425E+04
       560    103.00     413.50     0.954458E+04     0.954458E+04
       561      0.50     414.50     0.112639E+05     0.112639E+05
       562      1.50     414.50     0.112512E+05     0.112512E+05
       563      2.50     414.50     0.112199E+05     0.112199E+05
       564      3.50     414.50     0.111500E+05     0.111500E+05
       565      4.25     414.50     0.110926E+05     0.110926E+05
       566      4.75     414.50     0.110425E+05     0.110425E+05
       567      5.50     414.50     0.109953E+05     0.109953E+05
       568      6.50     414.50     0.108714E+05     0.108714E+05
       569      7.50     414.50     0.108018E+05     0.108018E+05
       570      8.50     414.50     0.106397E+05     0.106397E+05
       571     10.00     414.50     0.104841E+05     0.104841E+05
       572     13.00     414.50     0.100883E+05     0.100883E+05
       573     19.00     414.50     0.953436E+04     0.953436E+04
       574     31.00     414.50     0.885025E+04     0.885025E+04
       575     55.00     414.50     0.858434E+04     0.858434E+04
       576    103.00     414.50     0.846473E+04     0.846473E+04
       577      0.50     415.50     0.114607E+05     0.114607E+05
       578      1.50     415.50     0.114425E+05     0.114425E+05
       579      2.50     415.50     0.113986E+05     0.113986E+05
       580      3.50     415.50     0.113288E+05     0.113288E+05
       581      4.25     415.50     0.112652E+05     0.112652E+05
       582      4.75     415.50     0.112199E+05     0.112199E+05
       583      5.50     415.50     0.111424E+05     0.111424E+05
       584      6.50     415.50     0.110243E+05     0.110243E+05
       585      7.50     415.50     0.109037E+05     0.109037E+05
       586      8.50     415.50     0.107591E+05     0.107591E+05
       587     10.00     415.50     0.105557E+05     0.105557E+05
       588     13.00     415.50     0.101215E+05     0.101215E+05
       589     19.00     415.50     0.949559E+04     0.949559E+04
       590     31.00     415.50     0.878086E+04     0.878086E+04
       591     55.00     415.50     0.851062E+04     0.851062E+04
       592    103.00     415.50     0.839256E+04     0.839256E+04
       593      0.50     416.50     0.117075E+05     0.117075E+05
       594      1.50     416.50     0.116815E+05     0.116815E+05
       595      2.50     416.50     0.116275E+05     0.116275E+05
       596      3.50     416.50     0.115473E+05     0.115473E+05
       597      4.25     416.50     0.114724E+05     0.114724E+05
       598      4.75     416.50     0.114167E+05     0.114167E+05
       599      5.50     416.50     0.113248E+05     0.113248E+05
       600      6.50     416.50     0.111894E+05     0.111894E+05
       601      7.50     416.50     0.110409E+05     0.110409E+05
       602      8.50     416.50     0.108824E+05     0.108824E+05
       603     10.00     416.50     0.106395E+05     0.106395E+05
       604     13.00     416.50     0.101539E+05     0.101539E+05
       605     19.00     416.50     0.944854E+04     0.944854E+04
       606     31.00     416.50     0.870751E+04     0.870751E+04
       607     55.00     416.50     0.843460E+04     0.843460E+04
       608    103.00     416.50     0.831874E+04     0.831874E+04
       609      0.50     417.50     0.120024E+05     0.120024E+05
       610      1.50     417.50     0.119687E+05     0.119687E+05
       611      2.50     417.50     0.119019E+05     0.119019E+05
       612      3.50     417.50     0.118046E+05     0.118046E+05
       613      4.25     417.50     0.117139E+05     0.117139E+05
       614      4.75     417.50     0.116465E+05     0.116465E+05
       615      5.50     417.50     0.115353E+05     0.115353E+05
       616      6.50     417.50     0.113722E+05     0.113722E+05
       617      7.50     417.50     0.111958E+05     0.111958E+05
       618      8.50     417.50     0.110113E+05     0.110113E+05
       619     10.00     417.50     0.107278E+05     0.107278E+05
       620     13.00     417.50     0.101816E+05     0.101816E+05
       621     19.00     417.50     0.939461E+04     0.939461E+04
       622     31.00     417.50     0.863087E+04     0.863087E+04
       623     55.00     417.50     0.835784E+04     0.835784E+04
       624    103.00     417.50     0.824454E+04     0.824454E+04
       625      0.50     418.50     0.123519E+05     0.123519E+05
       626      1.50     418.50     0.123093E+05     0.123093E+05
       627      2.50     418.50     0.122260E+05     0.122260E+05
       628      3.50     418.50     0.121054E+05     0.121054E+05
       629      4.25     418.50     0.119938E+05     0.119938E+05
       630      4.75     418.50     0.119109E+05     0.119109E+05
       631      5.50     418.50     0.117746E+05     0.117746E+05
       632      6.50     418.50     0.115768E+05     0.115768E+05
       633      7.50     418.50     0.113660E+05     0.113660E+05
       634      8.50     418.50     0.111482E+05     0.111482E+05
       635     10.00     418.50     0.108180E+05     0.108180E+05
       636     13.00     418.50     0.102023E+05     0.102023E+05
       637     19.00     418.50     0.933358E+04     0.933358E+04
       638     31.00     418.50     0.854932E+04     0.854932E+04
       639     55.00     418.50     0.827790E+04     0.827790E+04
       640    103.00     418.50     0.816783E+04     0.816783E+04
       641      0.50     419.50     0.127639E+05     0.127639E+05
       642      1.50     419.50     0.127102E+05     0.127102E+05
       643      2.50     419.50     0.126053E+05     0.126053E+05
       644      3.50     419.50     0.124542E+05     0.124542E+05
       645      4.25     419.50     0.123152E+05     0.123152E+05
       646      4.75     419.50     0.122120E+05     0.122120E+05
       647      5.50     419.50     0.120445E+05     0.120445E+05
       648      6.50     419.50     0.118033E+05     0.118033E+05
       649      7.50     419.50     0.115500E+05     0.115500E+05
       650      8.50     419.50     0.112923E+05     0.112923E+05
       651     10.00     419.50     0.109073E+05     0.109073E+05
       652     13.00     419.50     0.102133E+05     0.102133E+05
       653     19.00     419.50     0.926392E+04     0.926392E+04
       654     31.00     419.50     0.846287E+04     0.846287E+04
       655     55.00     419.50     0.819477E+04     0.819477E+04
       656    103.00     419.50     0.808819E+04     0.808819E+04
       657      0.50     420.50     0.132499E+05     0.132499E+05
       658      1.50     420.50     0.131820E+05     0.131820E+05
       659      2.50     420.50     0.130490E+05     0.130490E+05
       660      3.50     420.50     0.128583E+05     0.128583E+05
       661      4.25     420.50     0.126841E+05     0.126841E+05
       662      4.75     420.50     0.125559E+05     0.125559E+05
       663      5.50     420.50     0.123473E+05     0.123473E+05
       664      6.50     420.50     0.120519E+05     0.120519E+05
       665      7.50     420.50     0.117459E+05     0.117459E+05
       666      8.50     420.50     0.114398E+05     0.114398E+05
       667     10.00     420.50     0.109922E+05     0.109922E+05
       668     13.00     420.50     0.102114E+05     0.102114E+05
       669     19.00     420.50     0.918475E+04     0.918475E+04
       670     31.00     420.50     0.837248E+04     0.837248E+04
       671     55.00     420.50     0.810944E+04     0.810944E+04
       672    103.00     420.50     0.800635E+04     0.800635E+04
       673      0.50     421.50     0.138246E+05     0.138246E+05
       674      1.50     421.50     0.137378E+05     0.137378E+05
       675      2.50     421.50     0.135686E+05     0.135686E+05
       676      3.50     421.50     0.133267E+05     0.133267E+05
       677      4.25     421.50     0.131068E+05     0.131068E+05
       678      4.75     421.50     0.129449E+05     0.129449E+05
       679      5.50     421.50     0.126847E+05     0.126847E+05
       680      6.50     421.50     0.123204E+05     0.123204E+05
       681      7.50     421.50     0.119499E+05     0.119499E+05
       682      8.50     421.50     0.115862E+05     0.115862E+05
       683     10.00     421.50     0.110664E+05     0.110664E+05
       684     13.00     421.50     0.101925E+05     0.101925E+05
       685     19.00     421.50     0.909360E+04     0.909360E+04
       686     31.00     421.50     0.827674E+04     0.827674E+04
       687     55.00     421.50     0.802117E+04     0.802117E+04
       688    103.00     421.50     0.792173E+04     0.792173E+04
       689      0.50     422.50     0.145048E+05     0.145048E+05
       690      1.50     422.50     0.143942E+05     0.143942E+05
       691      2.50     422.50     0.141781E+05     0.141781E+05
       692      3.50     422.50     0.138690E+05     0.138690E+05
       693      4.25     422.50     0.135894E+05     0.135894E+05
       694      4.75     422.50     0.133848E+05     0.133848E+05
       695      5.50     422.50     0.130563E+05     0.130563E+05
       696      6.50     422.50     0.126047E+05     0.126047E+05
       697      7.50     422.50     0.121551E+05     0.121551E+05
       698      8.50     422.50     0.117228E+05     0.117228E+05
       699     10.00     422.50     0.111220E+05     0.111220E+05
       700     13.00     422.50     0.101511E+05     0.101511E+05
       701     19.00     422.50     0.898746E+04     0.898746E+04
       702     31.00     422.50     0.817460E+04     0.817460E+04
       703     55.00     422.50     0.792969E+04     0.792969E+04
       704    103.00     422.50     0.783384E+04     0.783384E+04
       705      0.50     423.50     0.153097E+05     0.153097E+05
       706      1.50     423.50     0.151696E+05     0.151696E+05
       707      2.50     423.50     0.148945E+05     0.148945E+05
       708      3.50     423.50     0.144980E+05     0.144980E+05
       709      4.25     423.50     0.141391E+05     0.141391E+05
       710      4.75     423.50     0.138767E+05     0.138767E+05
       711      5.50     423.50     0.134588E+05     0.134588E+05
       712      6.50     423.50     0.128956E+05     0.128956E+05
       713      7.50     423.50     0.123491E+05     0.123491E+05
       714      8.50     423.50     0.118379E+05     0.118379E+05
       715     10.00     423.50     0.111482E+05     0.111482E+05
       716     13.00     423.50     0.100814E+05     0.100814E+05
       717     19.00     423.50     0.886542E+04     0.886542E+04
       718     31.00     423.50     0.806638E+04     0.806638E+04
       719     55.00     423.50     0.783355E+04     0.783355E+04
       720    103.00     423.50     0.774226E+04     0.774226E+04
       721      0.50     424.50     0.162548E+05     0.162548E+05
       722      1.50     424.50     0.160814E+05     0.160814E+05
       723      2.50     424.50     0.157360E+05     0.157360E+05
       724      3.50     424.50     0.152283E+05     0.152283E+05
       725      4.25     424.50     0.147625E+05     0.147625E+05
       726      4.75     424.50     0.144217E+05     0.144217E+05
       727      5.50     424.50     0.138836E+05     0.138836E+05
       728      6.50     424.50     0.131758E+05     0.131758E+05
       729      7.50     424.50     0.125123E+05     0.125123E+05
       730      8.50     424.50     0.119125E+05     0.119125E+05
       731     10.00     424.50     0.111318E+05     0.111318E+05
       732     13.00     424.50     0.997413E+04     0.997413E+04
       733     19.00     424.50     0.872454E+04     0.872454E+04
       734     31.00     424.50     0.795048E+04     0.795048E+04
       735     55.00     424.50     0.773259E+04     0.773259E+04
       736    103.00     424.50     0.764531E+04     0.764531E+04
       737      0.50     425.50     0.173409E+05     0.173409E+05
       738      1.50     425.50     0.171379E+05     0.171379E+05
       739      2.50     425.50     0.167219E+05     0.167219E+05
       740      3.50     425.50     0.160796E+05     0.160796E+05
       741      4.25     425.50     0.154690E+05     0.154690E+05
       742      4.75     425.50     0.150181E+05     0.150181E+05
       743      5.50     425.50     0.143075E+05     0.143075E+05
       744      6.50     425.50     0.134119E+05     0.134119E+05
       745      7.50     425.50     0.126138E+05     0.126138E+05
       746      8.50     425.50     0.119210E+05     0.119210E+05
       747     10.00     425.50     0.110541E+05     0.110541E+05
       748     13.00     425.50     0.982395E+04     0.982395E+04
       749     19.00     425.50     0.856774E+04     0.856774E+04
       750     31.00     425.50     0.782984E+04     0.782984E+04
       751     55.00     425.50     0.762782E+04     0.762782E+04
       752    103.00     425.50     0.754304E+04     0.754304E+04
       753      0.50     426.50     0.200000E+06     0.200000E+06
       754      1.50     426.50     0.200000E+06     0.200000E+06
       755      2.50     426.50     0.200000E+06     0.200000E+06
       756      3.50     426.50     0.200000E+06     0.200000E+06
       757      4.25     426.50     0.200000E+06     0.200000E+06
       758      4.75     426.50     0.200000E+06     0.200000E+06
       759      5.50     426.50     0.200000E+06     0.200000E+06
       760      6.50     426.50     0.200000E+06     0.200000E+06
       761      7.50     426.50     0.200000E+06     0.200000E+06
       762      8.50     426.50     0.200000E+06     0.200000E+06
       763     10.00     426.50     0.200000E+06     0.200000E+06
       764     13.00     426.50     0.200000E+06     0.200000E+06
       765     19.00     426.50     0.200000E+06     0.200000E+06
       766     31.00     426.50     0.200000E+06     0.200000E+06
       767     55.00     426.50     0.200000E+06     0.200000E+06
       768    103.00     426.50     0.200000E+06     0.200000E+06
       769      0.50     427.50     0.200000E+06     0.200000E+06
       770      1.50     427.50     0.200000E+06     0.200000E+06
       771      2.50     427.50     0.200000E+06     0.200000E+06
       772      3.50     427.50     0.200000E+06     0.200000E+06
       773      4.25     427.50     0.200000E+06     0.200000E+06
       774      4.75     427.50     0.200000E+06     0.200000E+06
       775      5.50     427.50     0.200000E+06     0.200000E+06
       776      6.50     427.50     0.200000E+06     0.200000E+06
       777      7.50     427.50     0.200000E+06     0.200000E+06
       778      8.50     427.50     0.200000E+06     0.200000E+06
       779     10.00     427.50     0.200000E+06     0.200000E+06
       780     13.00     427.50     0.200000E+06     0.200000E+06
       781     19.00     427.50     0.200000E+06     0.200000E+06
       782     31.00     427.50     0.200000E+06     0.200000E+06
       783     55.00     427.50     0.200000E+06     0.200000E+06
       784    103.00     427.50     0.200000E+06     0.200000E+06
       785      0.50     428.50     0.200000E+06     0.200000E+06
       786      1.50     428.50     0.200000E+06     0.200000E+06
       787      2.50     428.50     0.200000E+06     0.200000E+06
       788      3.50     428.50     0.200000E+06     0.200000E+06
       789      4.25     428.50     0.200000E+06     0.200000E+06
       790      4.75     428.50     0.200000E+06     0.200000E+06
       791      5.50     428.50     0.200000E+06     0.200000E+06
       792      6.50     428.50     0.200000E+06     0.200000E+06
       793      7.50     428.50     0.200000E+06     0.200000E+06
       794      8.50     428.50     0.200000E+06     0.200000E+06
       795     10.00     428.50     0.200000E+06     0.200000E+06
       796     13.00     428.50     0.200000E+06     0.200000E+06
       797     19.00     428.50     0.200000E+06     0.200000E+06
       798     31.00     428.50     0.200000E+06     0.200000E+06
       799     55.00     428.50     0.200000E+06     0.200000E+06
       800    103.00     428.50     0.200000E+06     0.200000E+06
