  STRESSES @ CENTER OF THE ELEMENTS:


  ELEMENT  R-COORD  Z-COORD      SIGMA R        SIGMA TH       SIGMA Z       SIGMA RZ
    294     4.75   397.50     -0.206127E+01  -0.200623E+01  -0.543070E+01   0.412169E+00
    295     5.50   397.50     -0.207790E+01  -0.200411E+01  -0.538046E+01   0.469285E+00
    296     6.50   397.50     -0.210227E+01  -0.200118E+01  -0.530482E+01   0.540366E+00
    297     7.50   397.50     -0.212850E+01  -0.199764E+01  -0.521964E+01   0.605299E+00
    298     8.50   397.50     -0.215655E+01  -0.199407E+01  -0.512666E+01   0.665586E+00
    299    10.00   397.50     -0.220286E+01  -0.198992E+01  -0.497619E+01   0.740788E+00
    300    13.00   397.50     -0.228949E+01  -0.197727E+01  -0.464379E+01   0.843596E+00
    301    19.00   397.50     -0.239212E+01  -0.192301E+01  -0.393442E+01   0.874276E+00
    302    31.00   397.50     -0.238946E+01  -0.186668E+01  -0.296480E+01   0.626927E+00
    303    55.00   397.50     -0.221583E+01  -0.192268E+01  -0.244833E+01   0.209214E+00
    304   103.00   397.50     -0.201733E+01  -0.193149E+01  -0.232951E+01   0.374012E-01
    305     0.50   398.50     -0.197786E+01  -0.197688E+01  -0.570442E+01   0.494020E-01
    306     1.50   398.50     -0.198250E+01  -0.197547E+01  -0.568752E+01   0.146843E+00
    307     2.50   398.50     -0.199269E+01  -0.197403E+01  -0.565615E+01   0.242009E+00
    308     3.50   398.50     -0.200700E+01  -0.197198E+01  -0.561079E+01   0.335923E+00
    309     4.25   398.50     -0.201802E+01  -0.196846E+01  -0.556676E+01   0.402960E+00
    310     4.75   398.50     -0.202939E+01  -0.196780E+01  -0.553463E+01   0.445561E+00
    311     5.50   398.50     -0.204640E+01  -0.196469E+01  -0.547843E+01   0.506903E+00
    312     6.50   398.50     -0.207241E+01  -0.196049E+01  -0.539344E+01   0.583228E+00
    313     7.50   398.50     -0.210186E+01  -0.195699E+01  -0.529992E+01   0.652458E+00
    314     8.50   398.50     -0.213287E+01  -0.195302E+01  -0.519713E+01   0.715836E+00
    315    10.00   398.50     -0.218044E+01  -0.194575E+01  -0.503046E+01   0.795068E+00
    316    13.00   398.50     -0.227160E+01  -0.192935E+01  -0.466415E+01   0.897415E+00
    317    19.00   398.50     -0.237451E+01  -0.186851E+01  -0.389944E+01   0.917533E+00
    318    31.00   398.50     -0.235553E+01  -0.180997E+01  -0.288812E+01   0.638135E+00
    319    55.00   398.50     -0.216197E+01  -0.186696E+01  -0.237335E+01   0.204637E+00
    320   103.00   398.50     -0.195573E+01  -0.187168E+01  -0.225684E+01   0.366869E-01
    321     0.50   399.50     -0.194374E+01  -0.194248E+01  -0.584065E+01   0.528750E-01
    322     1.50   399.50     -0.194950E+01  -0.194165E+01  -0.582311E+01   0.159270E+00
    323     2.50   399.50     -0.195990E+01  -0.193933E+01  -0.578785E+01   0.262609E+00
    324     3.50   399.50     -0.197573E+01  -0.193632E+01  -0.573679E+01   0.364065E+00
    325     4.25   399.50     -0.198885E+01  -0.193239E+01  -0.568725E+01   0.436288E+00
    326     4.75   399.50     -0.199985E+01  -0.193082E+01  -0.565113E+01   0.482779E+00
    327     5.50   399.50     -0.201898E+01  -0.192792E+01  -0.558898E+01   0.548864E+00
    328     6.50   399.50     -0.204770E+01  -0.192347E+01  -0.549551E+01   0.630960E+00
    329     7.50   399.50     -0.207881E+01  -0.191796E+01  -0.538971E+01   0.703886E+00
    330     8.50   399.50     -0.211205E+01  -0.191281E+01  -0.527516E+01   0.770534E+00
    331    10.00   399.50     -0.216514E+01  -0.190577E+01  -0.509250E+01   0.852988E+00
    332    13.00   399.50     -0.225951E+01  -0.188407E+01  -0.468898E+01   0.955269E+00
    333    19.00   399.50     -0.235984E+01  -0.181397E+01  -0.386283E+01   0.962194E+00
    334    31.00   399.50     -0.232484E+01  -0.175620E+01  -0.281328E+01   0.649325E+00
    335    55.00   399.50     -0.211026E+01  -0.181395E+01  -0.230149E+01   0.199637E+00
    336   103.00   399.50     -0.189501E+01  -0.181287E+01  -0.218547E+01   0.361543E-01
    337     0.50   400.50     -0.191617E+01  -0.191455E+01  -0.599589E+01   0.578807E-01
    338     1.50   400.50     -0.192072E+01  -0.191252E+01  -0.597565E+01   0.173482E+00
    339     2.50   400.50     -0.193236E+01  -0.190934E+01  -0.593593E+01   0.285849E+00
    340     3.50   400.50     -0.195000E+01  -0.190587E+01  -0.587848E+01   0.395533E+00
    341     4.25   400.50     -0.196356E+01  -0.190077E+01  -0.582322E+01   0.472276E+00
    342     4.75   400.50     -0.197637E+01  -0.189894E+01  -0.578208E+01   0.522436E+00
    343     5.50   400.50     -0.199796E+01  -0.189579E+01  -0.571339E+01   0.593873E+00
    344     6.50   400.50     -0.202867E+01  -0.189002E+01  -0.560922E+01   0.681869E+00
    345     7.50   400.50     -0.206157E+01  -0.188330E+01  -0.549232E+01   0.759892E+00
    346     8.50   400.50     -0.209772E+01  -0.187618E+01  -0.536375E+01   0.830538E+00
    347    10.00   400.50     -0.215501E+01  -0.186835E+01  -0.516212E+01   0.915359E+00
    348    13.00   400.50     -0.225191E+01  -0.183984E+01  -0.471620E+01   0.101802E+01
    349    19.00   400.50     -0.234790E+01  -0.175932E+01  -0.382327E+01   0.100756E+01
    350    31.00   400.50     -0.229558E+01  -0.170366E+01  -0.273812E+01   0.658744E+00
    351    55.00   400.50     -0.205814E+01  -0.176113E+01  -0.222969E+01   0.194498E+00
    352   103.00   400.50     -0.183477E+01  -0.175465E+01  -0.211490E+01   0.356475E-01
    353     0.50   401.50     -0.189076E+01  -0.188916E+01  -0.616813E+01   0.630340E-01
    354     1.50   401.50     -0.189789E+01  -0.188841E+01  -0.614733E+01   0.187850E+00
    355     2.50   401.50     -0.191057E+01  -0.188472E+01  -0.610280E+01   0.311222E+00
    356     3.50   401.50     -0.193056E+01  -0.188140E+01  -0.603880E+01   0.429398E+00
    357     4.25   401.50     -0.194622E+01  -0.187564E+01  -0.597564E+01   0.512685E+00
    358     4.75   401.50     -0.195930E+01  -0.187228E+01  -0.592921E+01   0.566750E+00
    359     5.50   401.50     -0.198277E+01  -0.186810E+01  -0.585233E+01   0.644415E+00
    360     6.50   401.50     -0.201558E+01  -0.186139E+01  -0.573638E+01   0.737267E+00
    361     7.50   401.50     -0.205136E+01  -0.185315E+01  -0.560585E+01   0.821122E+00
    362     8.50   401.50     -0.209032E+01  -0.184445E+01  -0.546375E+01   0.895764E+00
    363    10.00   401.50     -0.214983E+01  -0.183296E+01  -0.523865E+01   0.983228E+00
    364    13.00   401.50     -0.225056E+01  -0.179806E+01  -0.474650E+01   0.108487E+01
    365    19.00   401.50     -0.234007E+01  -0.170574E+01  -0.378210E+01   0.105430E+01
    366    31.00   401.50     -0.226614E+01  -0.165090E+01  -0.266060E+01   0.666495E+00
    367    55.00   401.50     -0.200385E+01  -0.170677E+01  -0.215592E+01   0.189227E+00
    368   103.00   401.50     -0.177341E+01  -0.169544E+01  -0.204320E+01   0.351924E-01
    369     0.50   402.50     -0.187487E+01  -0.187301E+01  -0.636472E+01   0.688124E-01
    370     1.50   402.50     -0.188235E+01  -0.187152E+01  -0.633997E+01   0.204985E+00
    371     2.50   402.50     -0.189516E+01  -0.186693E+01  -0.628956E+01   0.339113E+00
    372     3.50   402.50     -0.191572E+01  -0.186167E+01  -0.621735E+01   0.467091E+00
    373     4.25   402.50     -0.193371E+01  -0.185501E+01  -0.614693E+01   0.557747E+00
    374     4.75   402.50     -0.194905E+01  -0.185147E+01  -0.609486E+01   0.616491E+00
    375     5.50   402.50     -0.197493E+01  -0.184683E+01  -0.600881E+01   0.699430E+00
    376     6.50   402.50     -0.201103E+01  -0.183804E+01  -0.587851E+01   0.799101E+00
    377     7.50   402.50     -0.204946E+01  -0.182791E+01  -0.573241E+01   0.888765E+00
    378     8.50   402.50     -0.209046E+01  -0.181791E+01  -0.557444E+01   0.966561E+00
    379    10.00   402.50     -0.215210E+01  -0.180200E+01  -0.532314E+01   0.105606E+01
    380    13.00   402.50     -0.225642E+01  -0.175916E+01  -0.478062E+01   0.115564E+01
    381    19.00   402.50     -0.233551E+01  -0.165231E+01  -0.373779E+01   0.110234E+01
    382    31.00   402.50     -0.223539E+01  -0.159699E+01  -0.257945E+01   0.672357E+00
    383    55.00   402.50     -0.194901E+01  -0.165256E+01  -0.208229E+01   0.183939E+00
    384   103.00   402.50     -0.171303E+01  -0.163732E+01  -0.197292E+01   0.346961E-01
    385     0.50   403.50     -0.186756E+01  -0.186539E+01  -0.658491E+01   0.753751E-01
    386     1.50   403.50     -0.187536E+01  -0.186350E+01  -0.655661E+01   0.224118E+00
    387     2.50   403.50     -0.189026E+01  -0.185818E+01  -0.649971E+01   0.370223E+00
    388     3.50   403.50     -0.191343E+01  -0.185257E+01  -0.641849E+01   0.508732E+00
    389     4.25   403.50     -0.193156E+01  -0.184382E+01  -0.633888E+01   0.608094E+00
    390     4.75   403.50     -0.194897E+01  -0.183969E+01  -0.628068E+01   0.671021E+00
    391     5.50   403.50     -0.197574E+01  -0.183225E+01  -0.618333E+01   0.759849E+00
    392     6.50   403.50     -0.201408E+01  -0.182075E+01  -0.603691E+01   0.867147E+00
    393     7.50   403.50     -0.205615E+01  -0.180884E+01  -0.587314E+01   0.962098E+00
    394     8.50   403.50     -0.209962E+01  -0.179669E+01  -0.569751E+01   0.104370E+01
    395    10.00   403.50     -0.216422E+01  -0.177631E+01  -0.541638E+01   0.113474E+01
    396    13.00   403.50     -0.226926E+01  -0.172270E+01  -0.481683E+01   0.123051E+01
    397    19.00   403.50     -0.233373E+01  -0.159859E+01  -0.368931E+01   0.115115E+01
    398    31.00   403.50     -0.220436E+01  -0.154321E+01  -0.249611E+01   0.676111E+00
    399    55.00   403.50     -0.189320E+01  -0.159811E+01  -0.200842E+01   0.178317E+00
    400   103.00   403.50     -0.165224E+01  -0.157893E+01  -0.190238E+01   0.340871E-01
    401     0.50   404.50     -0.187085E+01  -0.186855E+01  -0.683309E+01   0.827049E-01
    402     1.50   404.50     -0.187965E+01  -0.186567E+01  -0.680028E+01   0.244954E+00
    403     2.50   404.50     -0.189593E+01  -0.185973E+01  -0.673592E+01   0.404466E+00
    404     3.50   404.50     -0.192035E+01  -0.185091E+01  -0.664227E+01   0.555155E+00
    405     4.25   404.50     -0.194031E+01  -0.184106E+01  -0.655242E+01   0.662929E+00
    406     4.75   404.50     -0.195913E+01  -0.183677E+01  -0.648792E+01   0.731303E+00
    407     5.50   404.50     -0.198739E+01  -0.182689E+01  -0.637718E+01   0.825897E+00
    408     6.50   404.50     -0.202866E+01  -0.181272E+01  -0.621183E+01   0.940592E+00
    409     7.50   404.50     -0.207279E+01  -0.179707E+01  -0.602838E+01   0.104144E+01
    410     8.50   404.50     -0.211812E+01  -0.178090E+01  -0.583214E+01   0.112663E+01
    411    10.00   404.50     -0.218581E+01  -0.175476E+01  -0.551678E+01   0.122055E+01
    412    13.00   404.50     -0.229039E+01  -0.168957E+01  -0.485465E+01   0.130919E+01
    413    19.00   404.50     -0.233592E+01  -0.154616E+01  -0.363748E+01   0.120003E+01
    414    31.00   404.50     -0.217316E+01  -0.149003E+01  -0.241105E+01   0.677902E+00
    415    55.00   404.50     -0.183470E+01  -0.154180E+01  -0.193232E+01   0.172189E+00
    416   103.00   404.50     -0.159040E+01  -0.151961E+01  -0.183078E+01   0.333704E-01
    417     0.50   405.50     -0.188529E+01  -0.188269E+01  -0.710946E+01   0.902822E-01
    418     1.50   405.50     -0.189515E+01  -0.187915E+01  -0.707274E+01   0.268745E+00
    419     2.50   405.50     -0.191379E+01  -0.187246E+01  -0.699989E+01   0.441579E+00
    420     3.50   405.50     -0.193948E+01  -0.186095E+01  -0.689262E+01   0.606531E+00
    421     4.25   405.50     -0.196202E+01  -0.184920E+01  -0.679053E+01   0.722605E+00
    422     4.75   405.50     -0.198074E+01  -0.184296E+01  -0.671641E+01   0.796284E+00
    423     5.50   405.50     -0.201149E+01  -0.183176E+01  -0.659251E+01   0.898856E+00
    424     6.50   405.50     -0.205594E+01  -0.181416E+01  -0.640545E+01   0.102101E+01
    425     7.50   405.50     -0.210214E+01  -0.179475E+01  -0.619923E+01   0.112718E+01
    426     8.50   405.50     -0.214977E+01  -0.177418E+01  -0.597935E+01   0.121552E+01
    427    10.00   405.50     -0.221918E+01  -0.173982E+01  -0.562621E+01   0.131173E+01
    428    13.00   405.50     -0.232078E+01  -0.166067E+01  -0.489427E+01   0.139327E+01
    429    19.00   405.50     -0.234345E+01  -0.149624E+01  -0.358343E+01   0.124761E+01
    430    31.00   405.50     -0.214268E+01  -0.143865E+01  -0.232579E+01   0.677766E+00
    431    55.00   405.50     -0.177592E+01  -0.148609E+01  -0.185710E+01   0.165768E+00
    432   103.00   405.50     -0.152915E+01  -0.146099E+01  -0.176010E+01   0.325379E-01
    433     0.50   406.50     -0.191602E+01  -0.191287E+01  -0.741888E+01   0.990131E-01
    434     1.50   406.50     -0.192588E+01  -0.190834E+01  -0.737711E+01   0.294294E+00
    435     2.50   406.50     -0.194568E+01  -0.189894E+01  -0.729423E+01   0.483637E+00
    436     3.50   406.50     -0.197480E+01  -0.188625E+01  -0.717355E+01   0.663667E+00
    437     4.25   406.50     -0.199799E+01  -0.187130E+01  -0.705684E+01   0.789719E+00
    438     4.75   406.50     -0.201736E+01  -0.186171E+01  -0.697051E+01   0.867838E+00
    439     5.50   406.50     -0.205218E+01  -0.184951E+01  -0.683093E+01   0.978591E+00
    440     6.50   406.50     -0.209672E+01  -0.182571E+01  -0.661752E+01   0.110821E+01
    441     7.50   406.50     -0.214507E+01  -0.180104E+01  -0.638500E+01   0.121988E+01
    442     8.50   406.50     -0.219537E+01  -0.177622E+01  -0.613809E+01   0.131175E+01
    443    10.00   406.50     -0.226626E+01  -0.173394E+01  -0.574437E+01   0.140930E+01
    444    13.00   406.50     -0.236201E+01  -0.163730E+01  -0.493647E+01   0.147960E+01
    445    19.00   406.50     -0.235659E+01  -0.144940E+01  -0.352687E+01   0.129383E+01
    446    31.00   406.50     -0.211308E+01  -0.138964E+01  -0.224108E+01   0.675837E+00
    447    55.00   406.50     -0.171644E+01  -0.143066E+01  -0.178241E+01   0.159190E+00
    448   103.00   406.50     -0.146671E+01  -0.140131E+01  -0.168817E+01   0.315598E-01
    449     0.50   407.50     -0.196600E+01  -0.196263E+01  -0.776487E+01   0.109010E+00
    450     1.50   407.50     -0.197768E+01  -0.195750E+01  -0.771773E+01   0.323017E+00
    451     2.50   407.50     -0.199818E+01  -0.194490E+01  -0.762238E+01   0.530034E+00
    452     3.50   407.50     -0.202810E+01  -0.192814E+01  -0.748366E+01   0.724309E+00
    453     4.25   407.50     -0.205230E+01  -0.190967E+01  -0.735047E+01   0.860813E+00
    454     4.75   407.50     -0.207382E+01  -0.189847E+01  -0.725343E+01   0.945966E+00
    455     5.50   407.50     -0.210893E+01  -0.188047E+01  -0.709212E+01   0.106361E+01
    456     6.50   407.50     -0.215738E+01  -0.185285E+01  -0.685259E+01   0.120232E+01
    457     7.50   407.50     -0.220731E+01  -0.182205E+01  -0.658986E+01   0.131942E+01
    458     8.50   407.50     -0.225771E+01  -0.178958E+01  -0.631051E+01   0.141409E+01
    459    10.00   407.50     -0.232885E+01  -0.173829E+01  -0.587195E+01   0.151179E+01
    460    13.00   407.50     -0.241336E+01  -0.161908E+01  -0.497872E+01   0.156905E+01
    461    19.00   407.50     -0.237076E+01  -0.140159E+01  -0.346208E+01   0.133780E+01
    462    31.00   407.50     -0.208161E+01  -0.134066E+01  -0.215415E+01   0.671346E+00
    463    55.00   407.50     -0.165773E+01  -0.137704E+01  -0.171024E+01   0.152668E+00
    464   103.00   407.50     -0.140570E+01  -0.134318E+01  -0.161817E+01   0.305067E-01
    465     0.50   408.50     -0.204087E+01  -0.203711E+01  -0.815242E+01   0.118597E+00
    466     1.50   408.50     -0.205251E+01  -0.202966E+01  -0.809713E+01   0.353803E+00
    467     2.50   408.50     -0.207492E+01  -0.201483E+01  -0.798861E+01   0.579916E+00
    468     3.50   408.50     -0.210542E+01  -0.199234E+01  -0.782866E+01   0.791225E+00
    469     4.25   408.50     -0.213030E+01  -0.196867E+01  -0.767545E+01   0.939756E+00
    470     4.75   408.50     -0.215354E+01  -0.195502E+01  -0.756475E+01   0.103027E+01
    471     5.50   408.50     -0.219004E+01  -0.193268E+01  -0.738124E+01   0.115578E+01
    472     6.50   408.50     -0.223817E+01  -0.189658E+01  -0.710743E+01   0.130218E+01
    473     7.50   408.50     -0.228914E+01  -0.185808E+01  -0.681114E+01   0.142509E+01
    474     8.50   408.50     -0.233956E+01  -0.181738E+01  -0.649742E+01   0.152231E+01
    475    10.00   408.50     -0.240587E+01  -0.175187E+01  -0.600550E+01   0.161910E+01
    476    13.00   408.50     -0.247661E+01  -0.160828E+01  -0.502205E+01   0.166003E+01
    477    19.00   408.50     -0.238811E+01  -0.135589E+01  -0.339186E+01   0.137899E+01
    478    31.00   408.50     -0.204845E+01  -0.129241E+01  -0.206588E+01   0.663868E+00
    479    55.00   408.50     -0.159883E+01  -0.132433E+01  -0.163954E+01   0.145863E+00
    480   103.00   408.50     -0.134519E+01  -0.128566E+01  -0.154897E+01   0.295428E-01
    481     0.50   409.50     -0.214409E+01  -0.213965E+01  -0.858221E+01   0.130056E+00
    482     1.50   409.50     -0.215617E+01  -0.213095E+01  -0.851811E+01   0.386916E+00
    483     2.50   409.50     -0.217902E+01  -0.211231E+01  -0.839364E+01   0.633406E+00
    484     3.50   409.50     -0.221126E+01  -0.208347E+01  -0.820872E+01   0.863367E+00
    485     4.25   409.50     -0.223737E+01  -0.205420E+01  -0.803375E+01   0.102355E+01
    486     4.75   409.50     -0.225978E+01  -0.203572E+01  -0.790627E+01   0.112154E+01
    487     5.50   409.50     -0.229602E+01  -0.200614E+01  -0.769602E+01   0.125407E+01
    488     6.50   409.50     -0.234546E+01  -0.196134E+01  -0.738544E+01   0.140949E+01
    489     7.50   409.50     -0.239454E+01  -0.191268E+01  -0.705036E+01   0.153640E+01
    490     8.50   409.50     -0.244319E+01  -0.186275E+01  -0.669824E+01   0.163570E+01
    491    10.00   409.50     -0.250182E+01  -0.177957E+01  -0.614654E+01   0.172884E+01
    492    13.00   409.50     -0.255360E+01  -0.160829E+01  -0.506700E+01   0.175015E+01
    493    19.00   409.50     -0.240894E+01  -0.131399E+01  -0.331739E+01   0.141656E+01
    494    31.00   409.50     -0.201681E+01  -0.124870E+01  -0.198106E+01   0.653342E+00
    495    55.00   409.50     -0.154017E+01  -0.127301E+01  -0.157094E+01   0.138804E+00
    496   103.00   409.50     -0.128620E+01  -0.122978E+01  -0.148181E+01   0.286473E-01
    497     0.50   410.50     -0.228722E+01  -0.228230E+01  -0.905793E+01   0.141997E+00
    498     1.50   410.50     -0.229837E+01  -0.226979E+01  -0.898429E+01   0.421422E+00
    499     2.50   410.50     -0.232019E+01  -0.224541E+01  -0.883973E+01   0.688748E+00
    500     3.50   410.50     -0.235189E+01  -0.220974E+01  -0.862882E+01   0.939239E+00
    501     4.25   410.50     -0.237563E+01  -0.217171E+01  -0.842757E+01   0.111208E+01
    502     4.75   410.50     -0.239673E+01  -0.214620E+01  -0.827893E+01   0.121716E+01
    503     5.50   410.50     -0.243349E+01  -0.210739E+01  -0.803807E+01   0.135911E+01
    504     6.50   410.50     -0.248160E+01  -0.205053E+01  -0.768592E+01   0.152297E+01
    505     7.50   410.50     -0.252594E+01  -0.198841E+01  -0.730600E+01   0.165266E+01
    506     8.50   410.50     -0.257011E+01  -0.192708E+01  -0.691197E+01   0.175304E+01
    507    10.00   410.50     -0.261761E+01  -0.182288E+01  -0.629279E+01   0.184072E+01
    508    13.00   410.50     -0.264106E+01  -0.161716E+01  -0.510867E+01   0.183690E+01
    509    19.00   410.50     -0.242870E+01  -0.127293E+01  -0.323516E+01   0.144907E+01
    510    31.00   410.50     -0.198182E+01  -0.120527E+01  -0.189461E+01   0.639188E+00
    511    55.00   410.50     -0.148035E+01  -0.122173E+01  -0.150282E+01   0.131872E+00
    512   103.00   410.50     -0.122758E+01  -0.117438E+01  -0.141529E+01   0.277342E-01
    513     0.50   411.50     -0.247314E+01  -0.246775E+01  -0.958270E+01   0.154881E+00
    514     1.50   411.50     -0.248415E+01  -0.245152E+01  -0.949467E+01   0.458693E+00
    515     2.50   411.50     -0.250396E+01  -0.241983E+01  -0.932619E+01   0.746926E+00
    516     3.50   411.50     -0.253383E+01  -0.237661E+01  -0.908630E+01   0.101712E+01
    517     4.25   411.50     -0.255577E+01  -0.232963E+01  -0.885665E+01   0.120217E+01
    518     4.75   411.50     -0.257616E+01  -0.229750E+01  -0.868662E+01   0.131577E+01
    519     5.50   411.50     -0.260640E+01  -0.224414E+01  -0.840853E+01   0.146482E+01
    520     6.50   411.50     -0.264958E+01  -0.217141E+01  -0.801172E+01   0.163868E+01
    521     7.50   411.50     -0.268584E+01  -0.208828E+01  -0.757527E+01   0.177133E+01
    522     8.50   411.50     -0.272511E+01  -0.201607E+01  -0.713950E+01   0.186999E+01
    523    10.00   411.50     -0.275286E+01  -0.188386E+01  -0.644122E+01   0.195073E+01
    524    13.00   411.50     -0.274119E+01  -0.163872E+01  -0.514888E+01   0.191991E+01
    525    19.00   411.50     -0.244619E+01  -0.123435E+01  -0.314681E+01   0.147379E+01
    526    31.00   411.50     -0.194171E+01  -0.116098E+01  -0.180517E+01   0.621958E+00
    527    55.00   411.50     -0.141727E+01  -0.116840E+01  -0.143271E+01   0.124557E+00
    528   103.00   411.50     -0.116762E+01  -0.111775E+01  -0.134730E+01   0.268188E-01
    529     0.50   412.50     -0.271420E+01  -0.270673E+01  -0.101554E+02   0.169472E+00
    530     1.50   412.50     -0.272780E+01  -0.269022E+01  -0.100537E+02   0.498021E+00
    531     2.50   412.50     -0.274316E+01  -0.264734E+01  -0.985238E+01   0.805599E+00
    532     3.50   412.50     -0.276820E+01  -0.259302E+01  -0.958641E+01   0.109611E+01
    533     4.25   412.50     -0.278369E+01  -0.253334E+01  -0.931846E+01   0.129415E+01
    534     4.75   412.50     -0.280102E+01  -0.249539E+01  -0.912441E+01   0.141223E+01
    535     5.50   412.50     -0.282214E+01  -0.242548E+01  -0.880527E+01   0.157059E+01
    536     6.50   412.50     -0.285917E+01  -0.233648E+01  -0.836732E+01   0.175288E+01
    537     7.50   412.50     -0.287807E+01  -0.222016E+01  -0.785548E+01   0.188810E+01
    538     8.50   412.50     -0.290631E+01  -0.213366E+01  -0.738334E+01   0.198191E+01
    539    10.00   412.50     -0.290817E+01  -0.196486E+01  -0.658940E+01   0.205573E+01
    540    13.00   412.50     -0.285140E+01  -0.167335E+01  -0.518579E+01   0.199493E+01
    541    19.00   412.50     -0.246072E+01  -0.120116E+01  -0.305567E+01   0.149016E+01
    542    31.00   412.50     -0.189760E+01  -0.111752E+01  -0.171502E+01   0.601366E+00
    543    55.00   412.50     -0.135077E+01  -0.111292E+01  -0.136047E+01   0.117318E+00
    544   103.00   412.50     -0.110715E+01  -0.106071E+01  -0.127884E+01   0.258620E-01
    545     0.50   413.50     -0.303443E+01  -0.302975E+01  -0.107713E+02   0.183594E+00
    546     1.50   413.50     -0.304188E+01  -0.299955E+01  -0.106562E+02   0.534957E+00
    547     2.50   413.50     -0.304816E+01  -0.294219E+01  -0.104070E+02   0.860061E+00
    548     3.50   413.50     -0.306360E+01  -0.287134E+01  -0.101225E+02   0.117404E+01
    549     4.25   413.50     -0.307376E+01  -0.280085E+01  -0.980722E+01   0.137970E+01
    550     4.75   413.50     -0.308492E+01  -0.275707E+01  -0.961485E+01   0.150664E+01
    551     5.50   413.50     -0.309130E+01  -0.265700E+01  -0.921636E+01   0.166918E+01
    552     6.50   413.50     -0.310879E+01  -0.254879E+01  -0.874994E+01   0.186077E+01
    553     7.50   413.50     -0.309808E+01  -0.238322E+01  -0.812225E+01   0.199277E+01
    554     8.50   413.50     -0.311291E+01  -0.228575E+01  -0.764760E+01   0.208692E+01
    555    10.00   413.50     -0.307134E+01  -0.205888E+01  -0.672400E+01   0.215061E+01
    556    13.00   413.50     -0.296738E+01  -0.171971E+01  -0.521283E+01   0.206102E+01
    557    19.00   413.50     -0.247056E+01  -0.117804E+01  -0.296883E+01   0.149626E+01
    558    31.00   413.50     -0.185100E+01  -0.107683E+01  -0.162627E+01   0.574995E+00
    559    55.00   413.50     -0.128340E+01  -0.105780E+01  -0.128919E+01   0.110098E+00
    560   103.00   413.50     -0.104714E+01  -0.100422E+01  -0.121107E+01   0.247605E-01
    561     0.50   414.50      0.562950E+03   0.562965E+03  -0.115236E+02   0.249212E+00
    562     1.50   414.50      0.562852E+03   0.562923E+03  -0.114069E+02   0.745898E+00
    563     2.50   414.50      0.562659E+03   0.562847E+03  -0.111698E+02   0.119315E+01
    564     3.50   414.50      0.562391E+03   0.562745E+03  -0.107716E+02   0.160898E+01
    565     4.25   414.50      0.562156E+03   0.562651E+03  -0.104247E+02   0.187831E+01
    566     4.75   414.50      0.561976E+03   0.562582E+03  -0.101484E+02   0.204315E+01
    567     5.50   414.50      0.561703E+03   0.562463E+03  -0.978871E+01   0.224308E+01
    568     6.50   414.50      0.561315E+03   0.562308E+03  -0.914236E+01   0.245577E+01
    569     7.50   414.50      0.560945E+03   0.562132E+03  -0.860952E+01   0.259770E+01
    570     8.50   414.50      0.560587E+03   0.561987E+03  -0.786507E+01   0.265581E+01
    571    10.00   414.50      0.560130E+03   0.561752E+03  -0.697600E+01   0.267997E+01
    572    13.00   414.50      0.559542E+03   0.561406E+03  -0.519457E+01   0.242447E+01
    573    19.00   414.50      0.559262E+03   0.560965E+03  -0.298378E+01   0.161278E+01
    574    31.00   414.50      0.559817E+03   0.560702E+03  -0.139648E+01   0.558844E+00
    575    55.00   414.50      0.560313E+03   0.560541E+03  -0.118244E+01   0.100985E+00
    576   103.00   414.50      0.560488E+03   0.560531E+03  -0.112870E+01   0.220028E-01
    577     0.50   415.50      0.562714E+03   0.562727E+03  -0.125738E+02   0.317044E+00
    578     1.50   415.50      0.562619E+03   0.562694E+03  -0.124210E+02   0.934665E+00
    579     2.50   415.50      0.562433E+03   0.562635E+03  -0.121035E+02   0.150069E+01
    580     3.50   415.50      0.562171E+03   0.562548E+03  -0.116340E+02   0.200592E+01
    581     4.25   415.50      0.561940E+03   0.562469E+03  -0.112093E+02   0.233381E+01
    582     4.75   415.50      0.561772E+03   0.562410E+03  -0.109031E+02   0.252269E+01
    583     5.50   415.50      0.561505E+03   0.562314E+03  -0.104057E+02   0.275336E+01
    584     6.50   415.50      0.561143E+03   0.562182E+03  -0.968309E+01   0.298331E+01
    585     7.50   415.50      0.560790E+03   0.562041E+03  -0.895796E+01   0.311177E+01
    586     8.50   415.50      0.560453E+03   0.561909E+03  -0.818026E+01   0.315716E+01
    587    10.00   415.50      0.560028E+03   0.561711E+03  -0.711062E+01   0.310795E+01
    588    13.00   415.50      0.559489E+03   0.561400E+03  -0.517308E+01   0.270122E+01
    589    19.00   415.50      0.559309E+03   0.561003E+03  -0.284869E+01   0.168199E+01
    590    31.00   415.50      0.559888E+03   0.560747E+03  -0.129718E+01   0.551828E+00
    591    55.00   415.50      0.560393E+03   0.560603E+03  -0.110375E+01   0.954670E-01
    592   103.00   415.50      0.560559E+03   0.560598E+03  -0.105119E+01   0.222517E-01
    593     0.50   416.50      0.562587E+03   0.562603E+03  -0.138986E+02   0.384624E+00
    594     1.50   416.50      0.562485E+03   0.562573E+03  -0.136920E+02   0.113261E+01
    595     2.50   416.50      0.562287E+03   0.562519E+03  -0.132825E+02   0.182067E+01
    596     3.50   416.50      0.562010E+03   0.562440E+03  -0.126968E+02   0.242000E+01
    597     4.25   416.50      0.561768E+03   0.562369E+03  -0.121653E+02   0.280181E+01
