

%-------------------------------------------------------------------------------------------------------%
                  2D Axisymmetric Finite Element Analysis (Linear Elastic version)
%-------------------------------------------------------------------------------------------------------%


%---------------------------------------------------------------%
                 FEM Program Standard Output
%---------------------------------------------------------------%

                     Nodal Displacements (in.): 

              Nodal Index  |      Displacement (R, Z)
                  01       |      (-2.785714e+01, -2.785714e+01, -1.385558e-13, -3.327811e-15)
                  02       |      (-2.785714e+01, -2.785714e+01, -3.197442e-14, -1.225374e-16)
                  03       |      (-2.785714e+01, -2.785714e+01, -1.563194e-13, 4.412454e-15)
                  04       |      (-2.785714e+01, -2.785714e+01, -1.190159e-13, 6.775964e-15)
                  05       |      (-2.785714e+01, -2.785714e+01, -1.669775e-13, 2.758533e-15)
                  06       |      (-2.785714e+01, -2.785714e+01, -1.314504e-13, 1.085450e-15)
                  07       |      (-2.785714e+01, -2.785714e+01, -7.815970e-14, -2.902107e-14)
                  08       |      (-2.785714e+01, -2.785714e+01, -1.136868e-13, 2.784909e-15)
                  09       |      (-2.785714e+01, -2.785714e+01, -1.332268e-13, 7.475748e-15)
                  10       |      (-2.785714e+01, -2.785714e+01, -1.136868e-13, -3.489018e-15)
                  11       |      (-2.785714e+01, -2.785714e+01, -6.394885e-14, -5.736122e-14)
                  12       |      (-2.785714e+01, -2.785714e+01, -1.403322e-13, -2.248746e-14)
                  13       |      (-2.785714e+01, -2.785714e+01, -1.119105e-13, -3.144479e-15)
                  14       |      (-2.785714e+01, -2.785714e+01, -1.474376e-13, 1.287837e-15)
                  15       |      (-2.785714e+01, -2.785714e+01, -8.437695e-14, 2.110631e-14)
                  16       |      (-2.785714e+01, -2.785714e+01, -9.414691e-14, 1.274580e-14)
                  17       |      (-2.785714e+01, -2.785714e+01, -8.348877e-14, -1.804511e-14)
                  18       |      (-2.785714e+01, -2.785714e+01, -1.172396e-13, -2.715466e-14)
                  19       |      (-2.785714e+01, -2.785714e+01, -1.723066e-13, -9.382519e-15)
                  20       |      (-2.785714e+01, -2.785714e+01, -7.815970e-14, -2.472158e-15)
                  21       |      (-2.785714e+01, -2.785714e+01, -8.881784e-14, 2.542696e-14)
                  22       |      (-2.785714e+01, -2.785714e+01, -3.019807e-14, -4.104558e-14)
                  23       |      (-2.785714e+01, -2.785714e+01, -6.750156e-14, -5.633484e-14)
                  24       |      (-2.785714e+01, -2.785714e+01, -5.417888e-14, -3.347255e-14)
                  25       |      (-2.785714e+01, -2.785714e+01, -7.460699e-14, 1.023796e-14)
                  26       |      (-2.785714e+01, -2.785714e+01, -9.503509e-14, -1.656337e-15)
                  27       |      (-2.785714e+01, -2.785714e+01, -1.048051e-13, 5.866177e-15)
                  28       |      (-2.785714e+01, -2.785714e+01, 6.394885e-14, 3.545859e-14)
                  29       |      (-2.785714e+01, -2.785714e+01, 7.815970e-14, -7.130042e-14)
                  30       |      (-2.785714e+01, -2.785714e+01, -3.375078e-14, -1.147425e-14)
                  31       |      (-2.785714e+01, -2.785714e+01, -1.332268e-13, 3.189384e-14)
                  32       |      (-2.785714e+01, -2.785714e+01, -3.907985e-14, -1.040484e-14)
                  33       |      (-2.785714e+01, -2.785714e+01, 2.877698e-13, -1.615710e-13)
                  34       |      (-2.785714e+01, -2.785714e+01, 8.171241e-14, -9.444060e-14)
                  35       |      (-2.785714e+01, -2.785714e+01, -2.255973e-13, 3.836660e-14)
                  36       |      (-2.785714e+01, -2.785714e+01, 2.131628e-14, -7.969254e-15)
                  37       |      (-2.785714e+01, -2.785714e+01, -1.154632e-13, -5.935549e-14)
                  38       |      (-2.785714e+01, -2.785714e+01, 2.131628e-14, 1.443613e-14)
                  39       |      (-2.785714e+01, -2.785714e+01, -5.080381e-13, -4.196463e-14)
            --------------------------------------------------------------------------------------
