

%-------------------------------------------------------------------------------------------------------%
                  2D Axisymmetric Finite Element Analysis (Linear Elastic version)
%-------------------------------------------------------------------------------------------------------%


%---------------------------------------------------------------%
                 FEM Program Standard Output
%---------------------------------------------------------------%

                     Nodal Displacements (in.): 

              Nodal Index  |      Displacement (R, Z)
                  01       |      (-2.187463e-03, -2.187463e-03, -5.104080e-03, 1.475287e-20)
                  02       |      (-2.187463e-03, -2.187463e-03, -5.104080e-03, -6.393493e-20)
                  03       |      (-2.187463e-03, -2.187463e-03, -5.104080e-03, -4.033917e-19)
                  04       |      (-2.187463e-03, -2.187463e-03, -5.104080e-03, -4.472436e-19)
                  05       |      (-2.187463e-03, -2.187463e-03, -5.104080e-03, -3.405706e-19)
                  06       |      (-2.187463e-03, -2.187463e-03, -5.104080e-03, 3.551948e-19)
                  07       |      (-1.822886e-03, -1.822886e-03, -4.253400e-03, 2.006836e-18)
                  08       |      (-1.822886e-03, -1.822886e-03, -4.253400e-03, -3.704096e-19)
                  09       |      (-1.822886e-03, -1.822886e-03, -4.253400e-03, -8.348006e-19)
                  10       |      (-1.822886e-03, -1.822886e-03, -4.253400e-03, 1.078054e-18)
                  11       |      (-1.458309e-03, -1.458309e-03, -3.402720e-03, 2.215368e-18)
                  12       |      (-1.458309e-03, -1.458309e-03, -3.402720e-03, 1.662443e-18)
                  13       |      (-1.458309e-03, -1.458309e-03, -3.402720e-03, -4.661401e-19)
                  14       |      (-1.458309e-03, -1.458309e-03, -3.402720e-03, -5.238832e-19)
                  15       |      (-1.458309e-03, -1.458309e-03, -3.402720e-03, -2.043822e-18)
                  16       |      (-1.458309e-03, -1.458309e-03, -3.402720e-03, -5.391298e-19)
                  17       |      (-1.458309e-03, -1.458309e-03, -3.402720e-03, 2.912814e-18)
                  18       |      (-1.093731e-03, -1.093731e-03, -2.552040e-03, 1.616389e-18)
                  19       |      (-1.093731e-03, -1.093731e-03, -2.552040e-03, 1.348530e-18)
                  20       |      (-1.093731e-03, -1.093731e-03, -2.552040e-03, -8.267700e-19)
                  21       |      (-1.093731e-03, -1.093731e-03, -2.552040e-03, 1.208751e-18)
                  22       |      (-7.291543e-04, -7.291543e-04, -1.701360e-03, 2.258071e-19)
                  23       |      (-7.291543e-04, -7.291543e-04, -1.701360e-03, 3.963296e-18)
                  24       |      (-7.291543e-04, -7.291543e-04, -1.701360e-03, 3.522223e-18)
                  25       |      (-7.291543e-04, -7.291543e-04, -1.701360e-03, -1.981590e-18)
                  26       |      (-7.291543e-04, -7.291543e-04, -1.701360e-03, -1.666082e-18)
                  27       |      (-7.291543e-04, -7.291543e-04, -1.701360e-03, 1.603816e-19)
                  28       |      (-7.291543e-04, -7.291543e-04, -1.701360e-03, 1.221417e-18)
                  29       |      (-3.645771e-04, -3.645771e-04, -8.506800e-04, 5.992851e-18)
                  30       |      (-3.645771e-04, -3.645771e-04, -8.506800e-04, -1.581493e-19)
                  31       |      (-3.645771e-04, -3.645771e-04, -8.506800e-04, -1.641430e-18)
                  32       |      (-3.645771e-04, -3.645771e-04, -8.506800e-04, 6.605126e-19)
                  33       |      (-7.946125e-18, -7.946125e-18, -1.160898e-17, 1.059988e-17)
                  34       |      (-1.647373e-18, -2.594455e-18, -4.172851e-18, 6.193643e-18)
                  35       |      (5.539741e-18, 4.350770e-18, 7.646798e-18, 4.150611e-19)
                  36       |      (1.918471e-19, 5.161906e-19, 9.143614e-20, -3.122967e-19)
                  37       |      (4.467923e-18, 5.297350e-18, 1.256262e-17, -3.464974e-19)
                  38       |      (9.734926e-19, 1.304276e-18, 3.248624e-18, -1.701621e-18)
                  39       |      (6.963303e-18, 6.986773e-18, 1.629495e-17, 4.915857e-18)
            --------------------------------------------------------------------------------------
