

%-------------------------------------------------------------------------------------------------------%
                  2D Axisymmetric Finite Element Analysis (Linear Elastic version)
%-------------------------------------------------------------------------------------------------------%


%---------------------------------------------------------------%
                 FEM Program Standard Output
%---------------------------------------------------------------%

                     Nodal Displacements (in.): 

              Nodal Index  |      Displacement (R, Z)
                  01       |      (-4.553040e-01, -4.553040e-01, -1.062376e+00, 7.180769e-02)
                  02       |      (-3.815130e-01, -3.813278e-01, -8.903822e-01, 1.603678e-01)
                  03       |      (-2.776391e-01, -2.778860e-01, -6.475776e-01, 1.617020e-01)
                  04       |      (-2.322346e-01, -2.318503e-01, -5.422650e-01, 1.362293e-01)
                  05       |      (-1.690222e-01, -1.692877e-01, -3.941197e-01, 6.968053e-02)
                  06       |      (-1.569060e-01, -1.565078e-01, -3.665121e-01, 1.824888e-17)
                  07       |      (-4.018305e-01, -4.018305e-01, -1.410528e+00, 6.764534e-03)
                  08       |      (-2.232847e-01, -1.817061e-01, -9.977662e-01, 2.230167e-01)
                  09       |      (-3.202272e-01, -1.686123e-01, -4.871642e-01, 1.419105e-01)
                  10       |      (-3.032418e-01, -1.831735e-01, -3.076241e-01, -4.974243e-03)
                  11       |      (-1.418905e-01, -1.418905e-01, -1.123292e+00, 3.919452e-02)
                  12       |      (-1.941007e-01, -2.276055e-01, -1.501986e+00, 2.482748e-01)
                  13       |      (-1.190160e-01, -4.782220e-02, -1.121817e+00, 3.553077e-01)
                  14       |      (-3.609321e-01, -1.323489e-01, -7.789807e-01, 3.016949e-01)
                  15       |      (-3.941487e-01, -1.298770e-01, -4.374731e-01, 1.850199e-01)
                  16       |      (-3.591520e-01, -1.391622e-01, -2.671996e-01, 9.058200e-02)
                  17       |      (-3.722055e-01, -1.762820e-01, -2.193078e-01, -6.674754e-04)
                  18       |      (1.007096e+00, 1.007096e+00, -1.677938e+00, -3.454844e-01)
                  19       |      (-5.296789e-01, -6.407599e-02, -1.221459e+00, 6.581585e-01)
                  20       |      (-4.745445e-01, -1.066423e-01, -3.554348e-01, 2.529833e-01)
                  21       |      (-3.352892e-01, -1.434970e-01, -1.459031e-01, -3.849112e-03)
                  22       |      (-5.192985e-01, -5.192985e-01, -8.108446e+00, -3.969513e-01)
                  23       |      (-1.920768e-01, 4.136513e-01, -2.701013e+00, 6.975908e-01)
                  24       |      (-1.414216e+00, -6.079883e-01, -2.281853e+00, 1.342609e+00)
                  25       |      (-4.085989e-01, -2.907063e-02, -6.191307e-01, 5.962146e-01)
                  26       |      (-4.580508e-01, -4.065278e-02, -1.765346e-01, 2.803154e-01)
                  27       |      (-3.172397e-01, -6.632126e-02, -5.783415e-02, 1.065911e-01)
                  28       |      (-2.131857e-01, -6.608705e-02, -1.550580e-02, -1.570807e-02)
                  29       |      (-5.694681e+00, -5.694681e+00, -1.723747e+01, 5.147196e+00)
                  30       |      (-1.191516e+00, -5.978381e-01, -2.212503e+00, 3.341366e-01)
                  31       |      (-3.234303e-01, -1.335532e-01, -1.909609e-01, 4.745925e-02)
                  32       |      (-4.848554e-02, -2.132122e-02, -2.035212e-02, -1.935493e-02)
                  33       |      (-1.115054e+01, -1.115054e+01, -2.274361e+01, 1.124388e+01)
                  34       |      (-4.060934e+00, -4.094773e+00, -6.460633e+00, 4.339943e+00)
                  35       |      (-1.415846e+00, -1.903260e+00, -2.030883e+00, -7.035867e-01)
                  36       |      (5.431975e-01, -2.492926e-01, 1.916294e-01, 1.757716e-01)
                  37       |      (6.192164e-01, 5.435060e-02, 6.857361e-02, -2.158236e-01)
                  38       |      (3.616534e-01, 5.619559e-02, 3.659570e-02, -1.262820e-02)
                  39       |      (3.419724e-01, 1.199062e-01, 5.726883e-02, -2.343526e-02)
            --------------------------------------------------------------------------------------
