

%-------------------------------------------------------------------------------------------------------%
                  2D Axisymmetric Finite Element Analysis (Linear Elastic version)
%-------------------------------------------------------------------------------------------------------%


%---------------------------------------------------------------%
                 FEM Program Standard Output
%---------------------------------------------------------------%

                     Nodal Displacements (in.): 

              Nodal Index  |      Displacement (R, Z)
                  01       |      (-2.785714e+01, -2.785714e+01, -2.096101e-13, -8.869677e-16)
                  02       |      (-2.785714e+01, -2.785714e+01, -1.474376e-13, 1.490504e-15)
                  03       |      (-2.785714e+01, -2.785714e+01, -2.202682e-13, -2.536684e-15)
                  04       |      (-2.785714e+01, -2.785714e+01, -1.492140e-13, -2.607956e-15)
                  05       |      (-2.785714e+01, -2.785714e+01, -2.273737e-13, -3.206114e-15)
                  06       |      (-2.785714e+01, -2.785714e+01, -2.380318e-13, 3.261743e-15)
                  07       |      (-2.785714e+01, -2.785714e+01, -1.811884e-13, -2.032038e-15)
                  08       |      (-2.785714e+01, -2.785714e+01, -1.794120e-13, -3.022415e-15)
                  09       |      (-2.785714e+01, -2.785714e+01, -1.723066e-13, 8.099567e-15)
                  10       |      (-2.785714e+01, -2.785714e+01, -1.953993e-13, -2.177904e-14)
                  11       |      (-2.785714e+01, -2.785714e+01, -9.769963e-14, 4.921055e-15)
                  12       |      (-2.785714e+01, -2.785714e+01, -1.350031e-13, -1.310421e-14)
                  13       |      (-2.785714e+01, -2.785714e+01, -1.305622e-13, 5.122109e-16)
                  14       |      (-2.785714e+01, -2.785714e+01, -2.042810e-13, 7.293417e-15)
                  15       |      (-2.785714e+01, -2.785714e+01, -2.069456e-13, 1.367921e-14)
                  16       |      (-2.785714e+01, -2.785714e+01, -1.811884e-13, -9.145433e-15)
                  17       |      (-2.785714e+01, -2.785714e+01, -1.154632e-13, -5.524460e-14)
                  18       |      (-2.785714e+01, -2.785714e+01, -3.907985e-14, -1.178196e-14)
                  19       |      (-2.785714e+01, -2.785714e+01, -2.327027e-13, 4.087195e-15)
                  20       |      (-2.785714e+01, -2.785714e+01, -1.580958e-13, 2.014341e-14)
                  21       |      (-2.785714e+01, -2.785714e+01, -7.460699e-14, -8.740199e-15)
                  22       |      (-2.785714e+01, -2.785714e+01, 1.953993e-14, -6.197479e-14)
                  23       |      (-2.785714e+01, -2.785714e+01, -1.563194e-13, -8.432518e-14)
                  24       |      (-2.785714e+01, -2.785714e+01, -7.727152e-14, -5.332739e-15)
                  25       |      (-2.785714e+01, -2.785714e+01, -5.861978e-14, 2.655227e-14)
                  26       |      (-2.785714e+01, -2.785714e+01, -6.128431e-14, 3.473711e-14)
                  27       |      (-2.785714e+01, -2.785714e+01, -9.059420e-14, 3.345884e-15)
                  28       |      (-2.785714e+01, -2.785714e+01, -5.684342e-14, -3.770501e-14)
                  29       |      (-2.785714e+01, -2.785714e+01, 6.750156e-14, -1.310240e-13)
                  30       |      (-2.785714e+01, -2.785714e+01, -3.375078e-14, 3.888359e-15)
                  31       |      (-2.785714e+01, -2.785714e+01, 1.421085e-14, 2.038680e-14)
                  32       |      (-2.785714e+01, -2.785714e+01, 4.618528e-14, 1.825556e-14)
                  33       |      (-2.785714e+01, -2.785714e+01, 2.735590e-13, -2.592691e-13)
                  34       |      (-2.785714e+01, -2.785714e+01, 3.197442e-14, -1.449439e-13)
                  35       |      (-2.785714e+01, -2.785714e+01, -3.055334e-13, -1.861553e-14)
                  36       |      (-2.785714e+01, -2.785714e+01, 1.136868e-13, 1.094795e-14)
                  37       |      (-2.785714e+01, -2.785714e+01, 7.283063e-14, -2.366619e-14)
                  38       |      (-2.785714e+01, -2.785714e+01, 1.421085e-13, -4.064076e-15)
                  39       |      (-2.785714e+01, -2.785714e+01, -1.243450e-13, -1.570870e-14)
            --------------------------------------------------------------------------------------
