

%-------------------------------------------------------------------------------------------------------%
                  2D Axisymmetric Finite Element Analysis (Linear Elastic version)
%-------------------------------------------------------------------------------------------------------%


%---------------------------------------------------------------%
                 FEM Program Standard Output
%---------------------------------------------------------------%

                     Nodal Displacements (in.): 

              Nodal Index  |      Displacement (R, Z)
                 0122      |      (0.000e+00, -9.282e-02)
                 0123      |      (0.000e+00, -9.793e-02)
                 0124      |      (4.012e-05, -9.792e-02)
                 0125      |      (1.380e-04, -9.779e-02)
                 0126      |      (2.508e-04, -9.705e-02)
                 0127      |      (-2.498e-05, -9.635e-02)
                 0128      |      (-1.837e-04, -9.622e-02)
                 0129      |      (-2.643e-04, -9.612e-02)
                 0130      |      (-3.147e-04, -9.603e-02)
                 0131      |      (-3.492e-04, -9.593e-02)
                 0132      |      (-3.744e-04, -9.583e-02)
                 0133      |      (-3.932e-04, -9.573e-02)
                 0134      |      (-4.074e-04, -9.563e-02)
                 0135      |      (-4.179e-04, -9.552e-02)
                 0136      |      (-4.282e-04, -9.537e-02)
                 0137      |      (-4.331e-04, -9.522e-02)
                 0138      |      (-4.338e-04, -9.507e-02)
                 0139      |      (-4.309e-04, -9.492e-02)
                 0140      |      (-4.168e-04, -9.463e-02)
                 0141      |      (-3.947e-04, -9.436e-02)
                 0142      |      (-3.357e-04, -9.388e-02)
                 0143      |      (-2.671e-04, -9.348e-02)
                 0144      |      (-1.962e-04, -9.319e-02)
                 0145      |      (-1.268e-04, -9.298e-02)
                 0146      |      (-6.094e-05, -9.286e-02)
                 0147      |      (0.000e+00, -9.282e-02)
                 0148      |      (0.000e+00, -9.771e-02)
                 0149      |      (1.843e-05, -9.771e-02)
                 0150      |      (4.791e-05, -9.770e-02)
                 0151      |      (9.119e-05, -9.766e-02)
                 0152      |      (1.613e-04, -9.756e-02)
                 0153      |      (2.479e-04, -9.733e-02)
                 0154      |      (2.592e-04, -9.695e-02)
                 0155      |      (1.452e-04, -9.658e-02)
                 0156      |      (-4.705e-06, -9.637e-02)
                 0157      |      (-1.073e-04, -9.629e-02)
                 0158      |      (-1.740e-04, -9.623e-02)
                 0159      |      (-2.212e-04, -9.618e-02)
                 0160      |      (-2.549e-04, -9.613e-02)
                 0161      |      (-2.810e-04, -9.609e-02)
                 0162      |      (-3.020e-04, -9.604e-02)
                 0163      |      (-3.195e-04, -9.599e-02)
                 0164      |      (-3.343e-04, -9.593e-02)
                 0165      |      (-3.471e-04, -9.588e-02)
                 0166      |      (-3.581e-04, -9.583e-02)
                 0167      |      (-3.677e-04, -9.578e-02)
                 0168      |      (-3.761e-04, -9.573e-02)
                 0169      |      (-3.833e-04, -9.568e-02)
                 0170      |      (-3.896e-04, -9.563e-02)
                 0171      |      (-3.951e-04, -9.558e-02)
                 0172      |      (-3.997e-04, -9.553e-02)
                 0173      |      (-4.054e-04, -9.545e-02)
                 0174      |      (-4.097e-04, -9.537e-02)
                 0175      |      (-4.126e-04, -9.530e-02)
                 0176      |      (-4.145e-04, -9.522e-02)
                 0177      |      (-4.153e-04, -9.514e-02)
                 0178      |      (-4.152e-04, -9.507e-02)
                 0179      |      (-4.142e-04, -9.499e-02)
                 0180      |      (-4.124e-04, -9.492e-02)
                 0181      |      (-4.069e-04, -9.477e-02)
                 0182      |      (-3.991e-04, -9.463e-02)
                 0183      |      (-3.893e-04, -9.449e-02)
                 0184      |      (-3.779e-04, -9.436e-02)
                 0185      |      (-3.514e-04, -9.411e-02)
                 0186      |      (-3.215e-04, -9.388e-02)
                 0187      |      (-2.893e-04, -9.367e-02)
                 0188      |      (-2.559e-04, -9.348e-02)
                 0189      |      (-2.219e-04, -9.332e-02)
                 0190      |      (-1.879e-04, -9.318e-02)
                 0191      |      (-1.543e-04, -9.307e-02)
                 0192      |      (-1.214e-04, -9.298e-02)
                 0193      |      (-8.939e-05, -9.291e-02)
                 0194      |      (-5.838e-05, -9.286e-02)
                 0195      |      (-2.857e-05, -9.283e-02)
                 0196      |      (0.000e+00, -9.282e-02)
