

%-------------------------------------------------------------------------------------------------------%
                  2D Axisymmetric Finite Element Analysis (Linear Elastic version)
%-------------------------------------------------------------------------------------------------------%


%---------------------------------------------------------------%
                 FEM Program Standard Output
%---------------------------------------------------------------%

                     Nodal Displacements (in.): 

              Nodal Index  |      Displacement (R, Z)
                 0121      |      (-1.817e-04, -2.274e-03)
                 0122      |      (-1.857e-04, -2.201e-03)
                 0123      |      (-1.879e-04, -2.133e-03)
                 0124      |      (-1.886e-04, -2.056e-03)
                 0125      |      (-1.880e-04, -1.984e-03)
                 0126      |      (-1.859e-04, -1.904e-03)
                 0127      |      (-1.827e-04, -1.829e-03)
                 0128      |      (-1.781e-04, -1.746e-03)
                 0129      |      (-1.730e-04, -1.668e-03)
                 0130      |      (-1.666e-04, -1.583e-03)
                 0131      |      (-1.602e-04, -1.505e-03)
                 0132      |      (-1.527e-04, -1.419e-03)
                 0133      |      (-1.455e-04, -1.341e-03)
                 0134      |      (-1.374e-04, -1.257e-03)
                 0135      |      (-1.298e-04, -1.180e-03)
                 0136      |      (-1.212e-04, -1.098e-03)
                 0137      |      (-1.130e-04, -1.024e-03)
                 0138      |      (-1.038e-04, -9.447e-04)
                 0139      |      (-9.476e-05, -8.745e-04)
                 0140      |      (-8.446e-05, -8.017e-04)
                 0141      |      (-7.438e-05, -7.387e-04)
                 0142      |      (-6.283e-05, -6.759e-04)
                 0143      |      (-5.157e-05, -6.245e-04)
                 0144      |      (-3.881e-05, -5.774e-04)
                 0145      |      (-2.652e-05, -5.439e-04)
                 0146      |      (-1.287e-05, -5.202e-04)
                 0147      |      (0.000e+00, -5.126e-04)
                 0148      |      (0.000e+00, -2.847e-03)
                 0149      |      (-1.304e-05, -2.845e-03)
                 0150      |      (-2.601e-05, -2.840e-03)
                 0151      |      (-3.881e-05, -2.830e-03)
                 0152      |      (-5.139e-05, -2.817e-03)
                 0153      |      (-6.365e-05, -2.801e-03)
                 0154      |      (-7.552e-05, -2.781e-03)
                 0155      |      (-8.692e-05, -2.757e-03)
                 0156      |      (-9.776e-05, -2.730e-03)
                 0157      |      (-1.079e-04, -2.699e-03)
                 0158      |      (-1.174e-04, -2.664e-03)
                 0159      |      (-1.259e-04, -2.626e-03)
                 0160      |      (-1.334e-04, -2.584e-03)
                 0161      |      (-1.395e-04, -2.537e-03)
                 0162      |      (-1.439e-04, -2.484e-03)
                 0163      |      (-1.483e-04, -2.425e-03)
                 0164      |      (-1.641e-04, -2.277e-03)
                 0165      |      (-1.722e-04, -2.135e-03)
                 0166      |      (-1.737e-04, -1.986e-03)
                 0167      |      (-1.699e-04, -1.830e-03)
                 0168      |      (-1.617e-04, -1.669e-03)
                 0169      |      (-1.504e-04, -1.505e-03)
                 0170      |      (-1.373e-04, -1.342e-03)
                 0171      |      (-1.229e-04, -1.180e-03)
                 0172      |      (-1.074e-04, -1.024e-03)
                 0173      |      (-9.030e-05, -8.745e-04)
                 0174      |      (-7.104e-05, -7.386e-04)
                 0175      |      (-4.934e-05, -6.243e-04)
                 0176      |      (-2.540e-05, -5.436e-04)
                 0177      |      (0.000e+00, -5.124e-04)
                 0178      |      (0.000e+00, -2.848e-03)
                 0179      |      (-5.877e-06, -2.848e-03)
                 0180      |      (-1.174e-05, -2.846e-03)
                 0181      |      (-1.759e-05, -2.844e-03)
                 0182      |      (-2.341e-05, -2.841e-03)
                 0183      |      (-2.919e-05, -2.837e-03)
                 0184      |      (-3.493e-05, -2.832e-03)
                 0185      |      (-4.061e-05, -2.825e-03)
                 0186      |      (-4.622e-05, -2.819e-03)
                 0187      |      (-5.176e-05, -2.811e-03)
                 0188      |      (-5.721e-05, -2.802e-03)
                 0189      |      (-6.257e-05, -2.792e-03)
                 0190      |      (-6.782e-05, -2.782e-03)
                 0191      |      (-7.296e-05, -2.770e-03)
                 0192      |      (-7.797e-05, -2.758e-03)
                 0193      |      (-8.285e-05, -2.744e-03)
                 0194      |      (-8.758e-05, -2.730e-03)
                 0195      |      (-9.214e-05, -2.715e-03)
                 0196      |      (-9.653e-05, -2.699e-03)
                 0197      |      (-1.007e-04, -2.682e-03)
                 0198      |      (-1.047e-04, -2.664e-03)
                 0199      |      (-1.085e-04, -2.646e-03)
                 0200      |      (-1.120e-04, -2.626e-03)
                 0201      |      (-1.153e-04, -2.605e-03)
                 0202      |      (-1.183e-04, -2.584e-03)
                 0203      |      (-1.209e-04, -2.561e-03)
                 0204      |      (-1.232e-04, -2.537e-03)
                 0205      |      (-1.253e-04, -2.511e-03)
                 0206      |      (-1.271e-04, -2.484e-03)
                 0207      |      (-1.291e-04, -2.455e-03)
                 0208      |      (-1.314e-04, -2.426e-03)
                 0209      |      (-1.395e-04, -2.349e-03)
                 0210      |      (-1.472e-04, -2.280e-03)
                 0211      |      (-1.532e-04, -2.206e-03)
                 0212      |      (-1.568e-04, -2.137e-03)
                 0213      |      (-1.591e-04, -2.060e-03)
                 0214      |      (-1.597e-04, -1.987e-03)
                 0215      |      (-1.590e-04, -1.907e-03)
                 0216      |      (-1.572e-04, -1.831e-03)
                 0217      |      (-1.542e-04, -1.747e-03)
                 0218      |      (-1.505e-04, -1.669e-03)
                 0219      |      (-1.457e-04, -1.584e-03)
                 0220      |      (-1.408e-04, -1.505e-03)
                 0221      |      (-1.349e-04, -1.420e-03)
                 0222      |      (-1.291e-04, -1.342e-03)
                 0223      |      (-1.225e-04, -1.257e-03)
                 0224      |      (-1.161e-04, -1.180e-03)
                 0225      |      (-1.088e-04, -1.098e-03)
                 0226      |      (-1.018e-04, -1.024e-03)
                 0227      |      (-9.376e-05, -9.447e-04)
                 0228      |      (-8.586e-05, -8.744e-04)
                 0229      |      (-7.672e-05, -8.015e-04)
                 0230      |      (-6.771e-05, -7.385e-04)
                 0231      |      (-5.731e-05, -6.756e-04)
                 0232      |      (-4.712e-05, -6.241e-04)
                 0233      |      (-3.550e-05, -5.770e-04)
                 0234      |      (-2.429e-05, -5.434e-04)
                 0235      |      (-1.179e-05, -5.198e-04)
                 0236      |      (0.000e+00, -5.122e-04)
                 0237      |      (0.000e+00, -2.849e-03)
                 0238      |      (-1.048e-05, -2.847e-03)
                 0239      |      (-2.089e-05, -2.842e-03)
                 0240      |      (-3.115e-05, -2.832e-03)
                 0241      |      (-4.120e-05, -2.819e-03)
                 0242      |      (-5.097e-05, -2.802e-03)
                 0243      |      (-6.036e-05, -2.782e-03)
                 0244      |      (-6.931e-05, -2.758e-03)
                 0245      |      (-7.773e-05, -2.730e-03)
                 0246      |      (-8.552e-05, -2.699e-03)
                 0247      |      (-9.257e-05, -2.664e-03)
                 0248      |      (-9.876e-05, -2.625e-03)
                 0249      |      (-1.039e-04, -2.583e-03)
                 0250      |      (-1.081e-04, -2.536e-03)
                 0251      |      (-1.115e-04, -2.483e-03)
                 0252      |      (-1.156e-04, -2.427e-03)
                 0253      |      (-1.311e-04, -2.282e-03)
                 0254      |      (-1.419e-04, -2.139e-03)
                 0255      |      (-1.459e-04, -1.989e-03)
                 0256      |      (-1.447e-04, -1.832e-03)
                 0257      |      (-1.394e-04, -1.670e-03)
                 0258      |      (-1.311e-04, -1.506e-03)
                 0259      |      (-1.209e-04, -1.342e-03)
                 0260      |      (-1.092e-04, -1.181e-03)
                 0261      |      (-9.622e-05, -1.024e-03)
                 0262      |      (-8.143e-05, -8.744e-04)
                 0263      |      (-6.439e-05, -7.384e-04)
                 0264      |      (-4.489e-05, -6.240e-04)
                 0265      |      (-2.318e-05, -5.432e-04)
                 0266      |      (0.000e+00, -5.120e-04)
                 0267      |      (0.000e+00, -2.849e-03)
                 0268      |      (-4.634e-06, -2.849e-03)
                 0269      |      (-9.256e-06, -2.847e-03)
                 0270      |      (-1.386e-05, -2.845e-03)
                 0271      |      (-1.845e-05, -2.842e-03)
                 0272      |      (-2.299e-05, -2.838e-03)
                 0273      |      (-2.750e-05, -2.832e-03)
                 0274      |      (-3.196e-05, -2.826e-03)
                 0275      |      (-3.635e-05, -2.819e-03)
                 0276      |      (-4.068e-05, -2.811e-03)
                 0277      |      (-4.493e-05, -2.802e-03)
                 0278      |      (-4.909e-05, -2.792e-03)
