

%-------------------------------------------------------------------------------------------------------%
                  2D Axisymmetric Finite Element Analysis (Linear Elastic version)
%-------------------------------------------------------------------------------------------------------%


%---------------------------------------------------------------%
                 FEM Program Standard Output
%---------------------------------------------------------------%

                     Nodal Displacements (in.): 

              Nodal Index  |      Displacement (R, Z)
                  129      |      (2.383e-05, -8.266e-04)
                  130      |      (-1.669e-05, -6.104e-04)
                  131      |      (-3.355e-05, -4.066e-04)
                  132      |      (-3.091e-05, -3.028e-04)
                  133      |      (-1.581e-05, -2.159e-04)
                  134      |      (0.000e+00, -1.946e-04)
                  135      |      (0.000e+00, -2.854e-03)
                  136      |      (7.702e-05, -2.818e-03)
                  137      |      (1.485e-04, -2.710e-03)
                  138      |      (2.076e-04, -2.538e-03)
                  139      |      (2.466e-04, -2.315e-03)
                  140      |      (2.601e-04, -2.064e-03)
                  141      |      (1.428e-04, -1.213e-03)
                  142      |      (-1.084e-07, -6.109e-04)
                  143      |      (-2.542e-05, -3.027e-04)
                  144      |      (0.000e+00, -1.943e-04)
                  145      |      (0.000e+00, -2.696e-03)
                  146      |      (3.868e-05, -2.688e-03)
                  147      |      (7.655e-05, -2.663e-03)
                  148      |      (1.130e-04, -2.622e-03)
                  149      |      (1.471e-04, -2.566e-03)
                  150      |      (1.781e-04, -2.495e-03)
                  151      |      (2.051e-04, -2.412e-03)
                  152      |      (2.273e-04, -2.317e-03)
                  153      |      (2.440e-04, -2.213e-03)
                  154      |      (2.548e-04, -2.102e-03)
                  155      |      (2.598e-04, -1.987e-03)
                  156      |      (2.292e-04, -1.551e-03)
                  157      |      (1.624e-04, -1.206e-03)
                  158      |      (6.732e-05, -8.289e-04)
                  159      |      (1.566e-05, -6.116e-04)
                  160      |      (-1.477e-05, -4.076e-04)
                  161      |      (-2.001e-05, -3.027e-04)
                  162      |      (-1.173e-05, -2.155e-04)
                  163      |      (0.000e+00, -1.941e-04)
                  164      |      (0.000e+00, -2.549e-03)
                  165      |      (7.464e-05, -2.519e-03)
                  166      |      (1.433e-04, -2.431e-03)
                  167      |      (1.996e-04, -2.293e-03)
