

%-------------------------------------------------------------------------------------------------------%
                  2D Axisymmetric Finite Element Analysis (Linear Elastic version)
%-------------------------------------------------------------------------------------------------------%


%---------------------------------------------------------------%
                 FEM Program Standard Output
%---------------------------------------------------------------%

                     Nodal Displacements (in.): 

              Nodal Index  |      Displacement (R, Z)
            --------------------------------------------------
                  000      |      (0.000e+00, -9.263e-01)
                  001      |      (-2.965e-02, -9.188e-01)
                  002      |      (-5.945e-02, -8.968e-01)
                  003      |      (-9.314e-02, -8.598e-01)
                  004      |      (-1.234e-01, -7.959e-01)
                  005      |      (-1.408e-01, -7.024e-01)
                  006      |      (-1.375e-01, -5.381e-01)
                  007      |      (-8.966e-02, -2.195e-01)
                  008      |      (-4.169e-02, -1.383e-01)
                  009      |      (-1.731e-02, -6.634e-02)
                  010      |      (0.000e+00, -5.440e-02)
                  011      |      (0.000e+00, -8.751e-01)
                  012      |      (-3.816e-02, -8.477e-01)
                  013      |      (-6.457e-02, -7.446e-01)
                  014      |      (-8.010e-02, -5.281e-01)
                  015      |      (-3.813e-02, -1.377e-01)
                  016      |      (0.000e+00, -5.419e-02)
                  017      |      (0.000e+00, -8.227e-01)
                  018      |      (-9.310e-03, -8.155e-01)
                  019      |      (-1.715e-02, -7.927e-01)
                  020      |      (-2.466e-02, -7.541e-01)
                  021      |      (-2.981e-02, -6.972e-01)
                  022      |      (-2.724e-02, -6.114e-01)
                  023      |      (-3.530e-02, -5.169e-01)
                  024      |      (-4.988e-02, -2.213e-01)
                  025      |      (-3.397e-02, -1.373e-01)
                  026      |      (-1.440e-02, -6.623e-02)
                  027      |      (0.000e+00, -5.393e-02)
                  028      |      (0.000e+00, -7.669e-01)
                  029      |      (-3.424e-03, -7.387e-01)
                  030      |      (-2.754e-03, -6.470e-01)
                  031      |      (-9.571e-03, -4.997e-01)
                  032      |      (-2.970e-02, -1.368e-01)
                  033      |      (0.000e+00, -5.375e-02)
                  034      |      (0.000e+00, -7.125e-01)
                  035      |      (3.174e-03, -7.056e-01)
                  036      |      (6.552e-03, -6.849e-01)
                  037      |      (1.012e-02, -6.510e-01)
                  038      |      (1.292e-02, -6.028e-01)
                  039      |      (1.257e-02, -5.435e-01)
                  040      |      (8.932e-03, -4.810e-01)
                  041      |      (-2.022e-02, -2.233e-01)
                  042      |      (-2.529e-02, -1.364e-01)
                  043      |      (-1.175e-02, -6.613e-02)
                  044      |      (0.000e+00, -5.355e-02)
                  045      |      (0.000e+00, -6.598e-01)
                  046      |      (1.248e-02, -6.349e-01)
                  047      |      (2.180e-02, -5.630e-01)
                  048      |      (1.982e-02, -4.610e-01)
                  049      |      (-2.074e-02, -1.360e-01)
                  050      |      (0.000e+00, -5.341e-02)
                  051      |      (0.000e+00, -6.105e-01)
                  052      |      (8.084e-03, -6.048e-01)
                  053      |      (1.555e-02, -5.887e-01)
                  054      |      (2.224e-02, -5.620e-01)
                  055      |      (2.683e-02, -5.273e-01)
                  056      |      (2.818e-02, -4.849e-01)
                  057      |      (2.632e-02, -4.402e-01)
