              TABLE A-1.  RAW LABORATORY DATA (TTI)

Samples TTIK,  TTIL, and TTIN used for report 
S11= Vertical stress.  S33=Radial pressure (psi)
T in K
E11= Recover&ble vertical strain
E11P= Permanent vertical strain over 200 cycles 
SUCTION (psi)
VWVT  WCON  GAMMA
CYCLE= Cycle number (starting after preconditioning)



DRY BASE COURSE MATERIAL
   
                  CODE1            T      SUCTION         VWVT                     WCON              6AMMAD
           34.30643          5      4.670E-04   -5.012E-04    5.066E-03     -4.043E-03           2800
           54.16649          5      6.825E-04   -7.712E-04    5.090E-03     -4.043E-03           3000
           74.23346          5      8.239E-04   -9.240E-04    5.108E-03     -4.135E-03           3200
           88.75652          5      8.839E-04   -9.864E-04    5.156E-03     -4.135E-03           3400
           123.7451          5      1.017E-03   -1.131E-03    5.187E-03     -4.218E-03           3600
           6.216038          1      8.346E-05   -1.364E-04    5.175E-03     -4.404E-03           3800
          10.273781          1      1.466E-04   -2.308E-04    5.285E-03     -4.507E-03           4000
           14.22895          1      2.451E-04   -3.152E-04    5.308E-03     -4.577E-03           4200
           17.28438          1      3.011E-04   -3.763E-04    5.333E-03     -4.589E-03           4400
           24.22848          1      3.958E-04   -4.410E-04    5.371E-03     -4.658E-03           4600
           34.20997          1      4.994E-04   -5.109E-04    5.395E-03     -4.754E-03           4800
           49.28513          1      6.134E-04   -5.772E-04    5.425E-03     -4.823E-03           5000
           73.91206          1      7.335E-04   -6.286E-04    5.505E-03     -4.962E-03           5200


              CODE1              T       SUCTION         VWVT                WCON              GAMMAD
               TTIN            298          1762         0.02               0.009               133.3
                S11            S33           E11          E33                E11P                E33P          CYCLE
          103.87176             30     1.230E-04   -7.935E-05           6.267E-04          -1.678E-04            200
           148.9011             30     2.706E-04   -1.440E-04           9.442E-04          -2.344E-04            400
           208.2217             30     5.350E-04   -2.544E-04           1.558E-03          -7.713E-04            600
            298.283             30     1.015E-03   -5.920E-04           3.125E-03          -9.191E-04            800
           357.7743             30     1.337E-03   -9.462E-04           4.635E-03          -1.305E-03           1000
            449.306             30     1.845E-03   -2.041E-03           4.631E-03          -1.511E-03           1200
            59.3316             20     2.828E-04   -1.247E-04           4.741E-03          -1.548E-03           1400
            69.0878             20     3.602E-04   -1.576E-04           4.765E-03          -1.585E-03           1600
           75.34878             20     4.111E-04   -1.896E-04           4.778E-03          -1.585E-03           1500
            79.1906             20     4.364E-04   -2.043E-04           4.790E-03          -1.622E-03           2000
            83.1624             20     4.598E-04   -2.187E-04           4.794E-03          -1.630E-03           2200
            89.1201             20     5.015E-04   -2.449E-04           4.807E-03          -1.622E-03           2400
           99.21974             20     5.777E-04   -2.995E-04           4.811E-03          -1.622E-03           2600
           139.1601             20     8.270E-04   -5.130E-04           4.871E-03          -1.702E-03           2800
           199.3879             20     1.057E-03   -7.200E-04           4.944E-03          -1.763E-03           3000
           29.03139             10     2.156E-04   -9.285E-05           5.038E-03          -1.866E-03           3200
            34.0911             10     2.807E-04   -1.160E-04           5.034E-03          -1.866E-03           3400
           37.00965             10     3.104E-04   -1.562E-04           5.042E-03          -1.866E-03           3600
           38.97857             10     3.458E-04   -1.599E-04           5.026E-03          -1.866E-03           3800
           41.08543             10     3.693E-04   -1.933E-04           5.033E-03          -1.866E-03           4000
           44.09098             10     4.028E-04   -2.139E-04           5.038E-03          -1.866E-03           4200
           49.11568             10     4.598E-04   -2.486E-04           5.034E-03          -1.903E-03           4400
           68.83746             10     6.602E-04   -4.247E-04           5.050E-03          -1.903E-03           4600
           98.62737             10     8.606E-04   -5.991E-04           5.087E-03          -1.922E-03           4800
          14.187484              5     1.221E-04   -5.206E-05           5.103E-03          -1.938E-03           5000
           16.60487              5     1.730E-04   -9.587E-05           5.111E-03          -1.957E-03           5200
           18.17696              5     2.035E-04   -1.049E-04           5.111E-03          -1.957E-03           5400
            19.0746              5     2.218E-04   -1.309E-04           5.111E-03          -1.975E-03           5600
            20.0939              5     2.361E-04   -1.309E-04           5.094E-03          -1.994E-03           5800
           21.66564              5     2.676E-04   -1.601E-04           5.111E-03          -1.994E-03           6000
           24.18665              5     3.134E-04   -2.037E-04           5.103E-03          -1.994E-03           6200
           34.23782              5     4.782E-04   -3.261E-04           5.103E-03          -2.010E-03           6400
            49.1234              5     6.337E-04   -4.597E-04           5.103E-03          -2.027E-03           6600
           73.99083              5     8.149E-04   -6.024E-04           5.127E-03          -2.046E-03           6800
           6.224349              1     1.017E-04   -8.445E-05           5.156E-03          -2.068E-03           7000
           9.194534              1     1.770E-04   -1.173E-04           5.164E-03          -2.115E-03           7200
           14.35805              1     9.380E-04   -8.718E-04           5.164E-03          -2.169E-03           7400
           17.24211              1     8.168E-04   -9.078E-04           5.168E-03          -2.241E-03           7600
            24.1841              1     9.817E-04   -1.225E-03           5.164E-03          -2.264E-03           7800
           34.18327              1     1.200E-03   -1.537E-03           5.202E-03          -2.373E-03           8000



         WET BASE COURSE MATERIAL
	 
                CODE1           T      SUCTION         VWVT        WCON      GAMMAD
                 TTIG         298          6.8        0.092      0.0415      133.27
                  S11         S33          E11          E33        E11P        E33P          CYCLE
                   33          30    0.000E+00   -9.250E-07   2.375E-05   0.000E+00            200
                   45          30    6.006E-05    3.626E-05   1.100E-04   1.337E-04            400
                   90          30    5.422E-04    2.453E-04   3.900E-04   2.340E-04            600
