ID,RockVoxel,BallVoxel,Reconstructed Volume,Actual Volume,Correction Need,Avg,,,,,
50,1.20E+07,1.67E+05,2319.198815,2327.6,1.00,,50,0.996390623,0.917422681,,
51,1.29E+07,1.67E+05,2504.090606,2327.6,0.93,,51,1.075825144,1.006380631,,
52,6.14E+06,1.67E+05,1191.106676,1261.9,1.06,,52,0.943899418,0.8917452,,
53,6.22E+06,1.67E+05,1206.317081,1261.9,1.05,,53,0.955952993,0.89742955,,
54,6.09E+06,1.67E+05,1181.638974,1261.9,1.07,,54,0.936396683,0.883988434,,
55,8.14E+06,1.67E+05,1578.331782,1594.4,1.01,,55,0.989922091,0.890900184,,
56,7.89E+06,1.67E+05,1530.818666,1594.4,1.04,,56,0.960122093,0.884162994,,
57,8.70E+06,1.67E+05,1688.258003,1594.4,0.94,,57,1.058867287,0.966267225,,
58,8.03E+06,1.67E+05,1557.359271,1458,0.94,,58,1.068147648,1.029455068,,
59,7.64E+06,1.67E+05,1481.384848,1458,0.98,,59,1.01603899,0.948777209,,
60,7.78E+06,1.67E+05,1509.981962,1458,0.97,,60,1.035652923,0.982138665,,
61,9.97E+06,1.63E+05,1981.926621,1637,0.83,,61,1.210706549,1.124237888,,
62,9.57E+06,1.63E+05,1902.884873,1637,0.86,,62,1.162422036,1.085490621,,
63,9.76E+06,1.63E+05,1939.136356,1637,0.84,,63,1.184567108,1.117928101,,
64,1.07E+07,1.63E+05,2119.042291,1568.8,0.74,,64,1.350740879,1.26457982,,
65,1.04E+07,1.63E+05,2076.709145,1568.8,0.76,,65,1.323756467,1.280768799,,
66,9.63E+06,1.63E+05,1913.27935,1568.8,0.82,,66,1.219581432,1.159985365,,
67,1.82E+07,1.63E+05,3612.229755,2668.7,0.74,,67,1.353554073,1.291723723,,
68,1.90E+07,1.63E+05,3768.246281,2668.7,0.71,,68,1.412015693,1.363857486,,
69,1.89E+07,1.63E+05,3757.712681,2668.7,0.71,,69,1.408068603,1.344471777,,
70,1.10E+07,1.63E+05,2193.771226,1807.6,0.82,,70,1.213637545,1.136008433,,
71,1.18E+07,1.63E+05,2351.775224,1807.6,0.77,,71,1.301048475,1.223180724,,
72,1.12E+07,1.63E+05,2223.583301,1807.6,0.81,,72,1.230130173,1.155904119,,
73,1.00E+07,1.63E+05,1991.844105,1560.3,0.78,,73,1.276577648,1.193582229,,
74,9.86E+06,1.63E+05,1959.030948,1560.3,0.80,,74,1.255547617,1.182595279,,
75,9.20E+06,1.63E+05,1829.070175,1560.3,0.85,,75,1.172255448,1.107235127,,
76,1.79E+07,1.63E+05,3556.779295,2626.1,0.74,,76,1.354395985,1.29157639,,
77,1.67E+07,1.63E+05,3328.021307,2626.1,0.79,,77,1.267286587,1.233769392,,
78,1.55E+07,1.63E+05,3082.369809,2626.1,0.85,,78,1.173744263,1.111740048,,
79,1.47E+07,1.63E+05,2912.440981,2933,1.01,,79,0.992990447,0.932862889,,
80,1.42E+07,1.63E+05,2823.600997,2933,1.04,,80,0.962700647,0.886233335,,
81,1.43E+07,1.63E+05,2843.674461,2933,1.03,,81,0.969544651,0.936826397,,
82,1.07E+07,1.63E+05,2128.184661,1782,0.84,,82,1.194267487,1.109218922,,
83,1.18E+07,1.63E+05,2341.639118,1782,0.76,,83,1.314051133,1.234569436,,
84,1.07E+07,1.63E+05,2130.967121,1782,0.84,,84,1.195828912,1.10351092,,
85,7.24E+06,1.63E+05,1439.346856,1134,0.79,,85,1.269265305,1.176799328,,
